"wardNo";"totalPopulation";"fracPopulation"
165 ;	2848  ;	0.0028470775468748127
166 ;	6575  ;	0.006572870389993642
167 ;	2545  ;	0.002544175687077387
168 ;	5521  ;	0.005519211775384775
169 ;	2993  ;	0.0029920305820914025
170 ;	2451  ;	0.002450206133212839
171 ;	9639  ;	0.009635877975535926
172 ;	3404  ;	0.003402897461222564
173 ;	5816  ;	0.005814116226342665
174 ;	4233  ;	0.004231628952219481
175 ;	0	    ;0
176 ;	55    ; 0.00005498218577180993
177 ;	3398  ;	0.003396899404592912
178 ;	4845  ;	0.004843430728443984
179 ;	2951  ;	0.0029500441856838383
180 ;	2748  ;	0.0027471099363806126
181 ;	2853  ;	0.0028520759273995226
182 ;	3850  ;	0.0038487530040266955
183 ;	1968  ;	0.001967362574525854
184 ;	4108  ;	0.004106669439101731
185 ;	3760  ;	0.0037587821545819154
186 ;	2698  ;	0.0026971261311335127
187 ;	2470  ;	0.002469199979206737
188 ;	2540  ;	0.002539177306552677
189 ;	2145  ;	0.0021443052451005874
190 ;	3039  ;	0.0030380156829187344
191 ;	3237  ;	0.00323595155169725
192 ;	2679  ;	0.0026781322851396148
193 ;	3090  ;	0.003088999164270776
194 ;	4982  ;	0.004980386354821038
