Date,S,E,I,R,H,C,D,index
0,999935.0,15.0,48.0,0.0,1.0,0.0,0.0,37
1,999916.99,21.8,47.01,11.57,1.59,0.04,0.0,37
2,999898.28,23.18,52.11,23.3,2.06,0.07,0.0,37
3,999878.42,24.42,56.66,36.77,2.65,0.06,0.02,37
4,999856.72,27.56,59.81,51.75,3.03,0.11,0.02,37
5,999834.24,29.04,64.74,67.18,3.61,0.16,0.03,37
6,999809.54,32.78,69.11,83.14,4.09,0.31,0.03,37
7,999783.53,31.67,78.0,100.83,4.45,0.49,0.03,37
8,999753.32,35.84,82.84,121.47,4.91,0.59,0.03,37
9,999722.25,38.41,89.3,143.04,5.34,0.56,0.1,37
10,999689.88,33.86,102.44,166.17,5.91,0.61,0.13,37
11,999651.14,41.7,105.86,192.83,6.56,0.77,0.14,37
12,999610.25,45.71,114.69,220.23,7.1,0.81,0.21,37
13,999565.97,49.54,124.72,249.87,7.77,0.87,0.26,37
14,999519.25,48.57,139.45,281.75,8.73,0.98,0.27,37
15,999466.21,54.15,150.1,317.86,9.44,0.91,0.33,37
16,999409.53,62.72,158.62,356.46,10.27,1.06,0.34,37
17,999350.06,64.54,175.3,396.52,11.2,0.99,0.39,37
18,999282.45,73.11,188.08,441.27,12.42,1.16,0.51,37
19,999211.99,73.06,208.69,489.84,13.54,1.31,0.57,37
20,999132.03,86.08,220.37,543.56,14.76,1.59,0.61,37
21,999046.77,94.97,238.59,600.26,15.92,1.82,0.67,37
22,998956.91,105.12,254.48,662.56,17.32,1.87,0.74,37
23,998862.39,111.14,275.41,728.72,18.7,1.83,0.81,37
24,998756.86,126.78,292.99,799.3,20.07,2.06,0.94,37
25,998646.35,127.64,326.04,873.82,21.87,2.24,1.04,37
26,998523.39,141.47,348.53,958.2,23.78,2.41,1.22,37
27,998391.54,155.88,373.38,1048.16,25.96,2.77,1.31,37
28,998248.05,173.13,400.13,1145.51,28.03,2.72,1.43,37
29,998095.36,187.17,432.87,1248.92,29.99,3.14,1.55,37
30,997929.12,197.96,474.83,1359.8,32.27,3.35,1.67,37
31,997747.84,211.73,517.28,1481.88,34.78,3.66,1.83,37
32,997551.33,240.99,547.08,1615.65,37.77,4.14,2.04,37
33,997344.57,244.98,606.27,1756.34,40.28,4.29,2.27,37
34,997112.54,280.02,641.6,1914.27,43.51,4.51,2.55,37
35,996869.22,301.99,692.21,2081.2,46.61,4.96,2.81,37
36,996605.11,316.83,759.33,2259.26,49.87,5.53,3.07,37
37,996315.47,348.87,815.19,2455.83,54.36,6.01,3.27,37
38,996005.51,369.82,886.38,2668.93,58.38,6.41,3.57,37
39,995668.24,403.21,958.22,2895.1,63.37,6.92,3.94,37
40,995307.7,435.98,1033.13,3142.36,68.03,7.55,4.25,37
41,994918.05,466.76,1118.58,3409.07,73.84,8.01,4.69,37
42,994493.98,496.61,1215.11,3699.05,80.44,8.74,5.07,37
43,994030.61,559.54,1292.09,4014.63,87.49,9.18,5.46,37
44,993541.66,584.85,1411.59,4351.15,93.76,10.02,5.97,37
45,993004.5,636.8,1526.64,4712.35,101.25,11.04,6.42,37
46,992423.1,692.05,1652.15,5103.65,108.92,12.13,7.0,37
47,991797.76,739.61,1796.45,5527.49,117.28,12.9,7.51,37
48,991117.61,811.87,1931.21,5990.06,126.34,13.76,8.15,37
49,990390.07,863.65,2096.89,6489.04,135.82,14.77,8.76,37
50,989603.74,930.9,2262.38,7028.36,147.99,16.09,9.54,37
51,988752.38,997.37,2452.28,7608.36,161.13,17.27,10.21,37
52,987828.47,1082.5,2645.21,8237.62,175.56,18.59,11.05,37
53,986836.06,1173.95,2851.66,8914.67,190.21,20.46,11.99,37
54,985760.28,1293.79,3056.33,9648.56,204.24,22.92,12.88,37
55,984616.91,1360.14,3325.48,10436.3,221.15,25.13,13.89,37
56,983374.95,1477.35,3572.81,11293.04,239.21,26.49,15.15,37
57,982035.15,1581.98,3865.58,12211.95,259.78,27.98,16.58,37
58,980586.61,1714.93,4161.3,13208.05,279.97,30.23,17.91,37
59,979041.89,1829.13,4497.85,14275.37,302.07,33.2,19.49,37
60,977364.41,1991.96,4820.27,15438.2,327.07,35.91,21.18,37
61,975573.88,2134.16,5197.12,16676.63,354.8,39.46,22.95,37
62,973642.28,2277.68,5620.95,18010.27,379.95,43.08,24.79,37
63,971564.19,2451.69,6046.58,19453.98,410.11,45.34,27.11,37
64,969330.07,2662.32,6470.96,21015.72,441.51,48.99,29.43,37
65,966940.12,2834.11,6982.58,22680.98,476.31,53.07,31.83,37
66,964369.92,3044.87,7496.9,24483.12,512.93,56.89,34.37,37
67,961607.17,3263.94,8064.29,26413.63,551.48,61.21,37.28,37
68,958664.95,3488.11,8645.23,28501.37,592.72,66.24,40.38,37
69,955510.03,3750.23,9255.09,30731.34,637.49,71.35,43.47,37
70,952145.49,4006.9,9925.21,33114.91,683.74,75.83,46.92,37
71,948557.6,4333.29,10568.62,35673.94,733.16,81.94,50.45,37
72,944743.19,4620.52,11302.04,38402.71,786.91,88.97,54.66,37
73,944633.05,969.1,12081.54,41317.52,842.84,96.05,58.9,37
74,944512.41,302.3,9681.42,44433.78,903.08,102.57,63.44,37
75,944418.54,150.08,7368.79,46960.91,922.63,109.42,68.63,37
76,944345.42,100.72,5543.47,48912.92,906.63,115.9,73.94,37
77,944290.58,73.33,4158.48,50408.76,867.67,120.45,79.73,37
78,944249.98,54.24,3120.93,51550.29,814.99,123.03,85.54,37
79,944219.62,40.28,2344.53,52426.95,753.24,122.91,91.47,37
80,944196.12,30.86,1758.69,53105.19,689.44,121.22,97.48,37
81,944179.45,22.7,1318.83,53632.04,623.72,118.73,103.53,37
82,944166.03,17.55,987.0,54042.69,562.73,113.64,109.36,37
83,944156.4,13.05,741.21,54362.52,502.99,108.11,114.72,37
84,944149.2,9.57,557.82,54613.51,446.94,102.24,119.72,37
85,944143.94,6.96,419.3,54812.57,396.66,94.86,124.71,37
86,944139.66,5.58,312.92,54971.51,351.39,88.37,129.57,37
87,944136.48,4.33,235.39,55097.35,309.6,81.95,133.9,37
88,944134.2,3.2,177.53,55198.42,273.14,74.4,138.11,37
89,944132.23,2.57,134.3,55281.03,239.8,67.32,141.75,37
90,944131.07,1.62,101.23,55348.51,209.84,61.85,144.88,37
91,944129.91,1.42,75.8,55403.93,183.96,56.04,147.94,37
92,944129.15,1.03,56.93,55449.13,160.75,51.05,150.96,37
93,944128.65,0.66,42.88,55486.97,140.52,45.79,153.53,37
94,944128.07,0.66,32.1,55519.26,122.07,41.25,155.59,37
95,944127.77,0.43,24.32,55545.42,107.03,36.55,157.48,37
96,944127.51,0.32,17.93,55567.8,94.03,32.27,159.14,37
97,944127.36,0.19,13.73,55586.21,81.58,29.22,160.71,37
98,944127.25,0.13,10.29,55601.85,71.17,25.99,162.32,37
99,944127.17,0.08,7.57,55615.31,62.01,23.45,163.41,37
100,944127.12,0.07,5.64,55626.69,53.93,20.82,164.73,37
101,944127.06,0.06,4.25,55636.9,46.88,18.19,165.66,37
102,944127.06,0.0,3.24,55646.16,40.31,15.59,166.64,37
103,944126.99,0.07,2.24,55653.76,34.87,13.69,167.38,37
104,944126.96,0.03,1.83,55659.81,30.52,11.83,168.02,37
105,944126.95,0.03,1.39,55665.13,26.37,10.65,168.48,37
106,944126.94,0.01,1.09,55669.88,22.73,9.36,168.99,37
