Date,S,E,I,R,H,C,D,index
80,943511.56,31.94,1792.1,53740.49,697.03,124.13,101.75,64
81,943493.75,23.98,1346.25,54274.54,631.02,121.78,107.68,64
82,943480.76,17.48,1009.81,54693.46,566.5,117.23,113.76,64
83,943470.89,13.19,757.65,55018.96,507.55,111.25,119.51,64
84,943463.91,9.6,569.81,55274.37,451.96,104.32,125.03,64
85,943458.18,7.65,427.34,55477.98,401.11,96.37,130.37,64
86,943453.96,5.67,318.59,55641.07,354.87,89.31,135.53,64
87,943450.67,4.26,239.64,55769.1,313.44,82.06,139.83,64
88,943448.08,3.31,178.73,55873.09,276.52,75.32,143.95,64
89,943446.42,2.35,134.42,55956.18,243.14,68.75,147.74,64
90,943445.24,1.59,100.36,56025.05,213.08,62.25,151.43,64
91,943444.49,1.01,75.58,56080.4,186.76,55.97,154.79,64
92,943443.74,0.96,56.31,56126.58,163.35,50.46,157.6,64
93,943443.19,0.66,42.56,56164.72,142.27,45.52,160.08,64
94,943442.77,0.59,31.53,56196.82,124.04,40.88,162.37,64
95,943442.45,0.44,23.27,56223.44,107.61,37.5,164.29,64
96,943442.15,0.39,17.39,56246.06,94.18,32.63,166.2,64
97,943442.05,0.19,12.96,56264.18,82.78,28.88,167.96,64
98,943441.94,0.13,9.58,56279.72,72.54,25.69,169.4,64
99,943441.87,0.08,6.99,56293.05,63.81,22.58,170.62,64
100,943441.75,0.14,5.44,56304.54,55.46,20.01,171.66,64
101,943441.7,0.08,4.35,56314.01,48.32,17.86,172.68,64
102,943441.62,0.1,3.2,56322.59,41.93,15.97,173.59,64
103,943441.57,0.09,2.48,56330.0,36.53,13.9,174.43,64
104,943441.54,0.04,1.86,56336.35,31.61,12.52,175.08,64
105,943441.52,0.02,1.48,56342.03,27.53,10.73,175.69,64
106,943441.52,0.0,1.1,56347.16,23.71,9.34,176.17,64
107,943441.51,0.01,0.81,56351.01,20.7,8.27,176.69,64
108,943441.51,0.01,0.58,56354.39,18.27,7.15,177.09,64
109,943441.5,0.01,0.44,56357.5,15.73,6.41,177.41,64
110,943441.49,0.01,0.31,56360.29,13.48,5.81,177.61,64
111,943441.49,0.0,0.24,56362.61,11.74,5.03,177.89,64
112,943441.48,0.01,0.14,56364.81,10.07,4.3,178.19,64
113,943441.48,0.0,0.12,56366.4,8.75,3.95,178.3,64
114,943441.48,0.0,0.05,56367.98,7.66,3.39,178.44,64
115,943441.48,0.0,0.04,56369.41,6.55,2.88,178.64,64
116,943441.48,0.0,0.03,56370.54,5.73,2.42,178.8,64
117,943441.48,0.0,0.02,56371.49,4.89,2.23,178.89,64
118,943441.48,0.0,0.02,56372.47,4.19,1.88,178.96,64
119,943441.48,0.0,0.02,56373.23,3.63,1.57,179.07,64
120,943441.48,0.0,0.02,56373.79,3.21,1.37,179.13,64
121,943441.48,0.0,0.01,56374.26,2.87,1.21,179.17,64
122,943441.48,0.0,0.0,56374.72,2.45,1.14,179.21,64
123,943441.48,0.0,0.0,56375.13,2.2,0.9,179.29,64
124,943441.48,0.0,0.0,56375.45,1.95,0.77,179.35,64
125,943441.48,0.0,0.0,56375.78,1.59,0.76,179.39,64
126,943441.48,0.0,0.0,56376.03,1.38,0.67,179.44,64
127,943441.48,0.0,0.0,56376.25,1.18,0.61,179.48,64
128,943441.48,0.0,0.0,56376.46,1.02,0.51,179.53,64
129,943441.48,0.0,0.0,56376.67,0.87,0.39,179.59,64
130,943441.48,0.0,0.0,56376.75,0.79,0.38,179.6,64
131,943441.48,0.0,0.0,56376.89,0.69,0.33,179.61,64
132,943441.48,0.0,0.0,56376.99,0.6,0.27,179.66,64
133,943441.48,0.0,0.0,56377.09,0.49,0.25,179.69,64
134,943441.48,0.0,0.0,56377.2,0.41,0.21,179.7,64
135,943441.48,0.0,0.0,56377.24,0.37,0.18,179.73,64
136,943441.48,0.0,0.0,56377.29,0.27,0.23,179.73,64
137,943441.48,0.0,0.0,56377.35,0.22,0.21,179.74,64
138,943441.48,0.0,0.0,56377.41,0.18,0.17,179.76,64
139,943441.48,0.0,0.0,56377.46,0.14,0.15,179.77,64
140,943441.48,0.0,0.0,56377.48,0.14,0.11,179.79,64
141,943441.48,0.0,0.0,56377.52,0.12,0.09,179.79,64
142,943441.48,0.0,0.0,56377.52,0.12,0.09,179.79,64
143,943441.48,0.0,0.0,56377.54,0.11,0.08,179.79,64
144,943441.48,0.0,0.0,56377.57,0.08,0.07,179.8,64
145,943441.48,0.0,0.0,56377.57,0.07,0.08,179.8,64
146,943441.48,0.0,0.0,56377.57,0.07,0.08,179.8,64
147,943441.48,0.0,0.0,56377.58,0.06,0.07,179.81,64
148,943441.48,0.0,0.0,56377.58,0.05,0.07,179.82,64
149,943441.48,0.0,0.0,56377.58,0.05,0.06,179.83,64
150,943441.48,0.0,0.0,56377.58,0.05,0.05,179.84,64
151,943441.48,0.0,0.0,56377.58,0.05,0.05,179.84,64
152,943441.48,0.0,0.0,56377.59,0.05,0.04,179.84,64
153,943441.48,0.0,0.0,56377.61,0.03,0.04,179.84,64
154,943441.48,0.0,0.0,56377.64,0.03,0.0,179.85,64
155,943441.48,0.0,0.0,56377.65,0.02,0.0,179.85,64
156,943441.48,0.0,0.0,56377.65,0.02,0.0,179.85,64
157,943441.48,0.0,0.0,56377.65,0.02,0.0,179.85,64
158,943441.48,0.0,0.0,56377.65,0.02,0.0,179.85,64
159,943441.48,0.0,0.0,56377.65,0.02,0.0,179.85,64
160,943441.48,0.0,0.0,56377.65,0.02,0.0,179.85,64
161,943441.48,0.0,0.0,56377.65,0.0,0.02,179.85,64
162,943441.48,0.0,0.0,56377.66,0.0,0.01,179.85,64
163,943441.48,0.0,0.0,56377.66,0.0,0.01,179.85,64
164,943441.48,0.0,0.0,56377.66,0.0,0.01,179.85,64
165,943441.48,0.0,0.0,56377.66,0.0,0.01,179.85,64
166,943441.48,0.0,0.0,56377.66,0.0,0.01,179.85,64
167,943441.48,0.0,0.0,56377.66,0.0,0.01,179.85,64
168,943441.48,0.0,0.0,56377.66,0.0,0.01,179.85,64
169,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
170,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
171,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
172,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
173,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
174,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
175,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
176,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
177,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
178,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
179,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
180,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
181,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
182,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
183,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
184,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
185,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
186,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
187,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
188,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
189,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
190,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
191,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
192,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
193,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
194,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
195,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
196,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
197,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
198,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
199,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
200,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
201,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
202,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
203,943441.48,0.0,0.0,56377.67,0.0,0.0,179.85,64
