Date,S,E,I,R,H,C,D,index
0,999935.0,15.0,48.0,0.0,1.0,0.0,0.0,54
1,999916.4,22.42,46.81,11.86,1.485,0.025,0.0,54
2,999898.74,22.385,52.33,23.635,1.855,0.055,0.0,54
3,999878.675,24.205,57.055,36.625,2.33,0.105,0.005,54
4,999857.095,27.23,60.765,50.915,2.8,0.18,0.015,54
5,999834.325,29.57,64.93,66.48,3.415,0.26,0.02,54
6,999809.06,33.735,68.965,83.165,3.72,0.315,0.04,54
7,999783.25,31.645,78.655,100.62,4.415,0.36,0.055,54
8,999752.225,36.69,83.8,120.685,5.14,0.38,0.08,54
9,999720.61,39.29,90.7,142.205,5.63,0.47,0.095,54
10,999686.145,36.05,104.35,165.63,6.17,0.525,0.13,54
11,999647.025,42.72,109.795,191.725,6.955,0.62,0.16,54
12,999605.435,46.66,119.16,219.275,7.44,0.87,0.16,54
13,999560.755,50.17,129.245,249.55,8.14,0.935,0.205,54
14,999510.795,51.955,143.22,283.005,8.79,1.0,0.235,54
15,999456.15,57.52,155.095,319.265,9.67,0.995,0.305,54
16,999397.73,65.545,164.505,359.345,10.435,1.1,0.34,54
17,999335.165,68.65,181.12,401.535,10.95,1.16,0.42,54
18,999266.39,76.07,194.725,448.05,11.985,1.3,0.48,54
19,999193.255,77.09,216.005,497.715,12.92,1.46,0.555,54
20,999111.765,88.965,228.985,552.625,14.45,1.56,0.65,54
21,999025.34,97.52,245.82,611.97,15.95,1.635,0.765,54
22,998932.75,109.805,261.135,675.415,17.325,1.73,0.84,54
23,998833.78,117.88,283.015,742.61,18.77,2.045,0.9,54
24,998727.225,130.46,301.605,816.085,20.44,2.205,0.98,54
25,998612.97,133.955,333.26,893.515,21.905,2.315,1.08,54
26,998486.665,147.925,357.065,979.76,23.855,2.525,1.205,54
27,998350.005,163.095,383.875,1072.15,25.775,2.78,1.32,54
28,998204.265,177.655,413.4,1171.285,27.825,3.105,1.465,54
29,998046.82,192.015,447.36,1277.715,29.985,3.49,1.615,54
30,997876.41,203.845,488.77,1391.9,32.46,3.85,1.765,54
31,997690.435,217.64,531.625,1518.36,34.845,4.11,1.985,54
32,997488.985,246.725,564.77,1654.205,37.77,4.375,2.17,54
33,997271.925,256.995,621.905,1800.3,40.915,4.49,2.47,54
34,997038.35,286.97,661.645,1960.525,43.975,4.91,2.625,54
35,996787.965,310.755,714.205,2130.665,47.385,5.2,2.825,54
36,996516.375,326.62,781.0,2314.48,51.9,5.52,3.105,54
37,996223.61,355.055,839.355,2515.465,56.14,5.92,3.455,54
38,995904.35,381.96,909.88,2731.91,60.73,6.405,3.765,54
39,995559.08,415.15,981.14,2967.155,65.325,7.07,4.08,54
40,995188.025,451.95,1056.375,3219.765,70.915,7.575,4.395,54
41,994788.755,483.52,1143.625,3493.85,76.315,8.14,4.795,54
42,994355.14,511.65,1247.085,3788.51,82.355,9.065,5.195,54
43,993884.94,570.92,1328.445,4110.105,88.895,10.115,5.58,54
44,993382.12,604.195,1446.97,4452.45,96.28,11.04,5.945,54
45,992837.165,650.695,1564.29,4824.925,103.665,11.71,6.55,54
46,992245.325,705.105,1688.045,5228.435,112.44,12.585,7.065,54
47,991610.38,752.99,1830.225,5663.07,120.975,13.715,7.645,54
48,990920.715,824.61,1966.96,6132.93,130.695,14.8,8.29,54
49,990180.015,881.035,2132.575,6639.59,141.015,15.73,9.04,54
50,989378.17,951.045,2300.415,7189.505,153.065,16.92,9.88,54
51,988510.635,1020.03,2493.355,7780.42,165.575,18.255,10.73,54
52,987570.525,1106.12,2690.74,8421.69,178.38,19.97,11.575,54
53,986558.265,1203.235,2897.175,9113.025,193.39,21.415,12.495,54
54,985468.635,1319.725,3105.75,9857.73,210.38,23.305,13.475,54
55,984299.53,1398.175,3377.96,10656.56,226.7,25.37,14.705,54
56,983033.865,1515.27,3631.95,11530.075,244.71,27.15,15.98,54
57,981671.955,1620.82,3929.615,12465.885,263.565,29.875,17.285,54
58,980203.805,1749.38,4236.78,13474.02,283.67,32.475,18.87,54
59,978626.705,1872.395,4571.45,14566.51,307.01,34.535,20.395,54
60,976921.525,2034.315,4911.19,15740.79,331.92,37.15,22.11,54
61,975090.305,2189.745,5291.615,17005.39,357.945,39.92,24.08,54
62,973126.675,2329.205,5718.535,18369.71,386.025,42.745,26.105,54
63,971004.01,2515.445,6146.46,19841.265,417.475,46.1,28.245,54
64,968735.96,2722.72,6588.385,21421.725,449.925,49.89,30.395,54
65,966310.73,2893.49,7104.08,23119.795,484.215,53.85,32.84,54
66,963697.64,3114.715,7623.585,24946.77,523.07,57.765,35.455,54
67,960905.73,3320.665,8198.345,26911.68,562.575,61.635,38.37,54
68,957911.945,3564.57,8785.57,29022.4,606.535,66.795,41.185,54
69,954713.205,3827.41,9407.645,31283.2,651.15,71.87,44.52,54
70,951288.905,4101.175,10076.965,33707.67,698.48,77.63,48.175,54
71,947646.46,4404.765,10759.615,36304.195,748.44,83.405,52.12,54
72,943761.04,4704.525,11505.22,39079.555,802.89,89.485,56.285,54
73,941633.03,3004.1,12302.755,42041.83,861.03,95.455,60.8,54
74,939364.73,2828.385,11506.33,45207.955,922.665,103.18,65.755,54
75,937248.17,2645.63,10766.05,48192.915,964.07,111.26,70.905,54
76,935273.12,2466.965,10078.785,50994.52,990.78,118.255,76.575,54
77,933426.115,2303.955,9426.79,53629.95,1005.02,124.715,82.455,54
