Date,S,E,I,R,H,C,D,index
0,999935.0,15.0,48.0,0.0,1.0,0.0,0.0,37
1,999916.79,21.995,46.685,11.97,1.52,0.04,0.0,37
2,999898.395,22.845,51.95,23.75,2.005,0.055,0.0,37
3,999878.775,24.23,56.425,36.95,2.5,0.12,0.0,37
4,999857.14,27.17,60.315,51.125,3.065,0.18,0.005,37
5,999833.535,30.455,64.78,66.45,3.49,0.285,0.005,37
6,999808.365,33.955,69.59,82.72,4.01,0.35,0.01,37
7,999781.95,32.325,79.525,100.29,4.465,0.43,0.015,37
8,999751.415,36.69,84.965,120.51,4.87,0.51,0.04,37
9,999720.24,38.9,91.68,142.065,5.405,0.665,0.045,37
10,999685.645,35.85,105.495,165.08,6.07,0.77,0.09,37
11,999645.405,43.635,109.955,192.23,6.815,0.835,0.125,37
12,999602.93,47.775,119.605,220.305,7.395,0.825,0.165,37
13,999557.665,50.87,130.905,250.175,8.36,0.815,0.21,37
14,999507.73,51.795,144.89,284.25,9.16,0.93,0.245,37
15,999452.58,57.19,156.765,321.24,9.985,0.955,0.285,37
16,999393.49,65.905,165.84,361.5,10.87,1.055,0.34,37
17,999329.0,70.96,180.94,404.645,11.865,1.185,0.405,37
18,999260.26,76.69,196.845,450.645,12.765,1.34,0.455,37
19,999184.27,80.055,217.115,501.725,13.81,1.505,0.52,37
20,999101.66,91.8,230.105,558.07,15.135,1.655,0.575,37
21,999013.955,99.47,249.145,617.225,16.79,1.745,0.67,37
22,998918.5,113.38,264.04,682.395,17.87,2.045,0.77,37
23,998819.12,119.62,287.49,750.675,19.095,2.13,0.87,37
24,998709.425,134.155,306.735,825.07,20.315,2.33,0.97,37
25,998592.395,137.18,338.785,904.78,22.275,2.46,1.125,37
26,998461.865,152.935,363.56,992.51,24.33,2.555,1.245,37
27,998324.455,164.835,393.71,1085.58,26.27,2.78,1.37,37
28,998174.055,182.545,422.035,1187.585,28.225,3.05,1.505,37
29,998014.315,196.885,456.385,1296.155,30.165,3.465,1.63,37
30,997840.135,209.675,497.965,1413.005,32.825,3.555,1.84,37
31,997650.32,224.205,542.4,1540.18,36.035,3.81,2.05,37
32,997443.465,254.985,575.43,1679.695,39.055,4.15,2.22,37
33,997225.715,261.28,635.39,1827.545,42.05,4.62,2.4,37
34,996984.49,294.78,675.605,1990.655,45.895,4.93,2.645,37
35,996728.165,320.2,728.67,2164.515,49.26,5.24,2.95,37
36,996452.815,334.28,797.63,2352.53,52.965,5.545,3.235,37
37,996151.86,365.975,855.935,2558.25,57.365,6.2,3.415,37
38,995827.0,391.455,930.68,2777.565,62.095,6.5,3.705,37
39,995474.665,426.03,1002.975,3016.79,67.31,7.225,4.005,37
40,995093.045,467.345,1078.235,3275.205,72.925,7.885,4.36,37
41,994682.175,500.43,1171.845,3552.37,78.77,8.645,4.765,37
42,994236.58,530.21,1278.16,3854.865,84.62,9.345,5.22,37
43,993752.735,591.93,1363.27,4183.99,91.25,10.225,5.6,37
44,993237.24,623.96,1487.895,4534.69,98.035,11.04,6.14,37
45,992675.15,675.58,1603.83,4919.74,106.07,11.94,6.69,37
46,992067.775,730.21,1735.175,5330.16,115.24,13.15,7.29,37
47,991409.83,783.615,1881.405,5776.725,125.145,14.365,7.915,37
48,990702.305,853.38,2026.125,6256.4,136.94,15.185,8.665,37
49,989937.55,918.28,2190.56,6779.055,147.98,16.19,9.385,37
50,989112.935,987.435,2367.995,7343.325,159.66,17.42,10.23,37
51,988219.73,1057.54,2564.805,7955.68,171.37,18.87,11.005,37
52,987252.42,1144.0,2769.39,8615.835,185.195,20.215,11.945,37
53,986214.075,1241.41,2979.99,9328.175,200.665,21.69,12.995,37
54,985094.15,1360.76,3196.79,10093.66,215.795,23.84,14.005,37
55,983898.41,1437.465,3472.37,10916.49,232.825,26.26,15.18,37
56,982600.975,1559.73,3732.335,11809.415,251.89,28.1,16.555,37
57,981205.67,1667.685,4036.9,12768.94,271.495,30.4,17.91,37
58,979696.545,1805.045,4342.025,13809.76,293.215,33.1,19.31,37
59,978081.185,1929.31,4687.745,14928.28,316.235,35.315,20.93,37
60,976334.19,2096.755,5030.915,16135.41,341.305,37.8,22.625,37
