Date,S,E,I,R,H,C,D,index
0,999935.0,15.0,48.0,0.0,1.0,0.0,0.0,17
1,999916.91,21.9,46.1,12.54,1.51,0.04,0.0,17
2,999899.21,22.38,51.65,23.77,1.91,0.08,0.0,17
3,999879.22,24.24,56.48,36.39,2.58,0.09,0.0,17
4,999857.98,26.75,59.85,51.29,2.99,0.14,0.0,17
5,999835.06,29.57,64.38,66.28,3.51,0.19,0.01,17
6,999810.99,32.75,68.19,82.87,3.91,0.27,0.02,17
7,999785.38,31.38,76.77,100.7,4.38,0.35,0.04,17
8,999756.6,34.33,82.31,120.41,4.84,0.46,0.05,17
9,999726.26,37.27,88.25,141.49,5.12,0.54,0.07,17
10,999693.39,33.02,101.74,164.37,5.82,0.55,0.11,17
11,999655.74,39.33,105.21,191.45,6.5,0.66,0.11,17
12,999615.18,43.63,114.27,217.92,7.03,0.84,0.13,17
13,999571.84,47.31,123.75,247.28,7.78,0.86,0.18,17
14,999524.35,47.4,139.12,278.55,8.54,0.82,0.22,17
15,999472.1,51.93,149.65,314.67,9.51,0.88,0.26,17
16,999413.51,62.86,157.28,353.35,10.81,0.86,0.33,17
17,999354.61,63.27,174.57,393.45,11.65,1.04,0.41,17
18,999288.42,70.37,187.95,437.56,13.07,1.19,0.44,17
19,999216.53,72.49,208.28,485.7,14.3,1.21,0.49,17
20,999136.99,85.2,220.17,539.23,15.49,1.33,0.59,17
21,999052.39,92.77,238.79,596.36,16.47,1.55,0.67,17
22,998960.91,105.61,254.58,658.22,17.32,1.6,0.76,17
23,998866.2,111.01,277.86,723.0,18.32,1.77,0.84,17
24,998759.21,127.7,294.29,794.96,19.98,1.95,0.91,17
25,998648.29,128.4,327.08,870.7,21.38,2.16,0.99,17
26,998522.96,143.5,351.09,954.69,23.34,2.35,1.07,17
27,998389.01,157.29,378.51,1044.89,25.38,2.75,1.17,17
28,998246.01,172.22,406.66,1142.92,26.89,2.97,1.33,17
29,998091.11,186.92,439.57,1247.19,29.55,3.15,1.51,17
30,997924.1,198.48,478.54,1360.67,31.98,3.55,1.68,17
31,997741.15,211.46,521.38,1484.58,34.81,3.75,1.87,17
32,997545.23,238.27,552.86,1618.9,37.58,4.1,2.06,17
33,997336.48,244.06,609.99,1761.52,40.25,4.43,2.27,17
34,997107.29,276.41,644.65,1919.67,43.83,4.64,2.51,17
35,996861.96,301.41,692.95,2087.6,47.16,5.11,2.81,17
36,996600.72,312.54,758.51,2267.97,50.88,5.36,3.02,17
37,996310.05,346.25,816.43,2462.58,54.51,5.91,3.27,17
38,996001.35,366.53,888.03,2673.94,59.25,6.26,3.64,17
39,995665.18,400.9,955.25,2902.27,64.76,6.72,3.92,17
40,995304.0,436.1,1029.34,3147.94,69.93,7.5,4.19,17
41,994915.9,466.99,1116.92,3411.19,75.36,8.12,4.52,17
42,994490.81,495.63,1217.15,3700.44,81.4,8.72,4.85,17
43,994031.14,553.65,1297.31,4013.51,88.38,9.67,5.34,17
44,993538.21,586.46,1415.44,4347.24,95.05,10.84,5.76,17
45,992999.94,636.26,1529.72,4712.36,103.19,11.27,6.26,17
46,992415.8,691.02,1656.46,5105.56,110.97,12.4,6.79,17
47,991789.18,738.8,1799.67,5530.03,120.43,13.42,7.47,17
48,991111.16,806.85,1935.18,5993.36,129.78,14.44,8.23,17
49,990380.01,865.77,2098.4,6490.3,140.13,15.43,8.96,17
50,989590.31,932.11,2269.42,7029.94,151.03,16.5,9.69,17
51,988733.63,999.15,2460.25,7614.55,162.92,18.13,10.37,17
52,987810.4,1078.07,2652.92,8250.39,176.67,19.29,11.26,17
53,986811.88,1175.23,2854.95,8933.64,190.18,21.04,12.08,17
54,985741.56,1286.63,3062.61,9666.87,205.55,22.76,13.02,17
55,984594.48,1359.83,3323.77,10459.83,222.67,24.28,14.14,17
56,983344.95,1482.98,3575.69,11313.52,241.1,25.54,15.22,17
57,982008.03,1578.1,3876.43,12233.01,258.66,28.28,16.49,17
58,980560.17,1708.53,4171.36,13232.48,278.14,30.37,17.95,17
59,979003.32,1833.65,4504.17,14304.68,300.97,32.66,19.55,17
60,977315.04,2001.78,4837.8,15462.54,325.23,35.47,21.14,17
61,975510.68,2146.54,5226.79,16701.7,351.9,38.42,22.97,17
62,973564.56,2294.89,5644.54,18049.59,379.03,41.48,24.91,17
63,971478.89,2464.9,6076.97,19496.63,409.2,45.55,26.86,17
64,969232.83,2678.67,6507.04,21061.93,440.52,49.19,28.82,17
65,966830.28,2849.29,7021.02,22738.66,475.02,53.42,31.31,17
66,964244.05,3067.77,7535.79,24549.96,509.67,57.8,33.96,17
67,961478.71,3277.02,8104.04,26491.43,549.92,61.01,36.87,17
68,958512.7,3514.32,8693.17,28580.95,592.6,65.41,39.85,17
69,955350.32,3767.73,9302.16,30827.16,637.02,71.44,43.17,17
70,951955.36,4037.71,9967.47,33229.59,685.35,76.81,46.71,17
71,948348.86,4358.04,10624.25,35798.51,736.63,82.47,50.24,17
72,944512.15,4649.3,11370.08,38533.98,791.15,88.13,54.21,17
73,944295.17,1084.81,12159.31,41458.01,848.46,94.92,58.32,17
74,944067.26,429.98,9836.92,44590.05,910.77,101.02,63.0,17
75,943880.11,265.79,7595.0,47151.51,928.96,109.79,67.84,17
76,943738.16,189.94,5812.99,49154.16,914.15,115.92,73.68,17
77,943628.11,144.85,4437.07,50710.7,878.01,120.75,79.51,17
78,943543.37,110.98,3383.38,51925.26,827.94,122.3,85.77,17
79,943479.06,84.78,2578.2,52873.55,767.95,123.89,91.57,17
80,943430.75,63.88,1968.99,53611.32,703.59,123.2,97.27,17
81,943392.63,49.6,1500.54,54192.93,639.47,120.45,103.38,17
82,943363.44,38.62,1147.85,54646.66,577.55,115.81,109.07,17
83,943342.0,28.71,875.98,55009.11,518.14,109.88,115.18,17
84,943325.23,22.03,667.31,55297.94,461.8,103.91,120.78,17
85,943311.92,17.62,510.68,55523.87,411.19,97.67,126.05,17
86,943302.45,12.45,389.58,55708.37,364.91,90.43,130.81,17
87,943295.53,9.23,296.77,55855.46,323.18,83.51,135.32,17
88,943289.92,7.33,225.54,55974.78,285.38,76.85,139.2,17
89,943285.54,5.75,172.4,56071.02,251.69,69.72,142.88,17
90,943282.04,4.33,131.99,56149.41,221.67,63.16,146.4,17
91,943279.61,3.2,101.09,56213.65,194.09,57.75,149.61,17
92,943277.75,2.4,76.48,56266.95,170.27,52.72,152.43,17
93,943276.27,1.92,58.27,56310.27,149.78,47.37,155.12,17
94,943275.14,1.5,44.65,56346.23,131.48,42.57,157.43,17
95,943274.23,1.21,33.63,56377.83,115.0,37.6,159.5,17
96,943273.72,0.75,24.84,56403.22,101.38,33.61,161.48,17
97,943273.36,0.5,18.91,56424.07,88.84,30.09,163.23,17
98,943273.09,0.35,14.25,56442.37,77.29,27.09,164.56,17
99,943272.84,0.35,10.88,56457.44,67.71,23.99,165.79,17
100,943272.53,0.39,8.05,56470.66,59.1,21.28,166.99,17
101,943272.39,0.23,6.12,56482.06,50.91,19.25,168.04,17
102,943272.3,0.14,4.75,56491.6,44.16,16.97,169.08,17
103,943272.23,0.11,3.57,56499.74,38.4,15.08,169.87,17
104,943272.18,0.07,2.51,56507.16,33.45,12.94,170.69,17
105,943272.11,0.09,1.83,56513.16,29.23,11.24,171.34,17
106,943272.1,0.01,1.39,56518.54,25.15,9.82,171.99,17
107,943272.06,0.04,1.11,56522.76,22.0,8.49,172.54,17
108,943272.06,0.01,0.8,56526.07,19.46,7.74,172.86,17
109,943272.04,0.03,0.63,56529.45,16.72,6.84,173.29,17
110,943272.02,0.03,0.55,56532.27,14.52,5.96,173.65,17
111,943272.0,0.02,0.44,56534.59,12.76,5.18,174.01,17
112,943272.0,0.0,0.33,56536.66,11.2,4.58,174.23,17
113,943271.98,0.02,0.26,56538.49,9.74,4.06,174.45,17
114,943271.98,0.01,0.17,56540.17,8.33,3.65,174.69,17
115,943271.98,0.0,0.17,56541.54,7.35,3.09,174.87,17
116,943271.98,0.0,0.12,56542.76,6.42,2.7,175.02,17
117,943271.98,0.0,0.07,56543.88,5.6,2.29,175.18,17
118,943271.98,0.0,0.06,56544.61,4.89,2.18,175.28,17
119,943271.98,0.0,0.03,56545.53,4.3,1.79,175.37,17
120,943271.98,0.0,0.03,56546.25,3.73,1.52,175.49,17
121,943271.98,0.0,0.03,56546.79,3.36,1.25,175.59,17
122,943271.98,0.0,0.03,56547.2,3.01,1.11,175.67,17
123,943271.98,0.0,0.02,56547.71,2.55,1.02,175.72,17
124,943271.98,0.0,0.01,56548.02,2.36,0.88,175.75,17
125,943271.98,0.0,0.01,56548.39,2.06,0.8,175.76,17
126,943271.98,0.0,0.01,56548.7,1.78,0.69,175.84,17
127,943271.98,0.0,0.01,56548.96,1.56,0.64,175.85,17
128,943271.98,0.0,0.01,56549.18,1.35,0.63,175.85,17
129,943271.98,0.0,0.0,56549.41,1.19,0.57,175.85,17
130,943271.98,0.0,0.0,56549.66,1.03,0.47,175.86,17
131,943271.98,0.0,0.0,56549.8,0.87,0.48,175.87,17
132,943271.98,0.0,0.0,56549.99,0.73,0.41,175.89,17
133,943271.98,0.0,0.0,56550.1,0.64,0.35,175.93,17
134,943271.98,0.0,0.0,56550.22,0.52,0.31,175.97,17
135,943271.98,0.0,0.0,56550.27,0.48,0.3,175.97,17
136,943271.98,0.0,0.0,56550.36,0.43,0.25,175.98,17
137,943271.98,0.0,0.0,56550.4,0.41,0.21,176.0,17
138,943271.98,0.0,0.0,56550.45,0.35,0.21,176.01,17
139,943271.98,0.0,0.0,56550.51,0.29,0.19,176.03,17
140,943271.98,0.0,0.0,56550.57,0.27,0.14,176.04,17
141,943271.98,0.0,0.0,56550.63,0.23,0.11,176.05,17
142,943271.98,0.0,0.0,56550.65,0.23,0.09,176.05,17
143,943271.98,0.0,0.0,56550.7,0.17,0.09,176.06,17
144,943271.98,0.0,0.0,56550.73,0.16,0.07,176.06,17
145,943271.98,0.0,0.0,56550.75,0.13,0.08,176.06,17
146,943271.98,0.0,0.0,56550.77,0.12,0.07,176.06,17
147,943271.98,0.0,0.0,56550.79,0.11,0.06,176.06,17
148,943271.98,0.0,0.0,56550.8,0.09,0.07,176.06,17
149,943271.98,0.0,0.0,56550.82,0.09,0.05,176.06,17
150,943271.98,0.0,0.0,56550.84,0.07,0.05,176.06,17
151,943271.98,0.0,0.0,56550.86,0.06,0.04,176.06,17
152,943271.98,0.0,0.0,56550.88,0.05,0.02,176.07,17
153,943271.98,0.0,0.0,56550.89,0.04,0.02,176.07,17
154,943271.98,0.0,0.0,56550.89,0.04,0.01,176.08,17
155,943271.98,0.0,0.0,56550.89,0.04,0.01,176.08,17
156,943271.98,0.0,0.0,56550.91,0.03,0.0,176.08,17
157,943271.98,0.0,0.0,56550.91,0.03,0.0,176.08,17
158,943271.98,0.0,0.0,56550.92,0.02,0.0,176.08,17
159,943271.98,0.0,0.0,56550.92,0.01,0.01,176.08,17
160,943271.98,0.0,0.0,56550.92,0.01,0.01,176.08,17
161,943271.98,0.0,0.0,56550.92,0.0,0.02,176.08,17
162,943271.98,0.0,0.0,56550.92,0.0,0.02,176.08,17
163,943271.98,0.0,0.0,56550.92,0.0,0.02,176.08,17
164,943271.98,0.0,0.0,56550.92,0.0,0.02,176.08,17
165,943271.98,0.0,0.0,56550.92,0.0,0.02,176.08,17
166,943271.98,0.0,0.0,56550.92,0.0,0.02,176.08,17
167,943271.98,0.0,0.0,56550.92,0.0,0.02,176.08,17
168,943271.98,0.0,0.0,56550.92,0.0,0.02,176.08,17
169,943271.98,0.0,0.0,56550.92,0.0,0.02,176.08,17
170,943271.98,0.0,0.0,56550.92,0.0,0.01,176.09,17
171,943271.98,0.0,0.0,56550.92,0.0,0.01,176.09,17
172,943271.98,0.0,0.0,56550.92,0.0,0.01,176.09,17
173,943271.98,0.0,0.0,56550.92,0.0,0.01,176.09,17
174,943271.98,0.0,0.0,56550.93,0.0,0.0,176.09,17
175,943271.98,0.0,0.0,56550.93,0.0,0.0,176.09,17
176,943271.98,0.0,0.0,56550.93,0.0,0.0,176.09,17
177,943271.98,0.0,0.0,56550.93,0.0,0.0,176.09,17
178,943271.98,0.0,0.0,56550.93,0.0,0.0,176.09,17
179,943271.98,0.0,0.0,56550.93,0.0,0.0,176.09,17
