Date,S,E,I,R,H,C,D,index
0,999935.0,15.0,48.0,0.0,1.0,0.0,0.0,80
1,999916.485,22.36,46.405,12.21,1.495,0.045,0.0,80
2,999899.12,21.92,51.895,24.07,1.9,0.09,0.005,80
3,999879.49,23.695,55.895,37.375,2.4,0.14,0.005,80
4,999858.72,26.4,58.84,51.865,2.995,0.175,0.005,80
5,999835.9,29.3,63.25,66.935,3.37,0.24,0.005,80
6,999811.81,32.265,67.66,83.19,3.76,0.3,0.015,80
7,999786.185,30.89,76.795,100.34,4.44,0.31,0.04,80
8,999757.19,34.335,82.19,119.925,4.935,0.365,0.06,80
9,999726.055,38.03,88.02,140.89,5.49,0.445,0.07,80
10,999692.345,34.565,101.575,163.82,6.145,0.455,0.095,80
11,999653.885,41.335,106.06,190.225,6.875,0.505,0.115,80
12,999613.54,44.66,115.595,217.11,7.345,0.61,0.14,80
13,999569.96,48.05,125.515,246.5,8.095,0.705,0.175,80
14,999521.885,48.315,140.4,278.61,8.77,0.825,0.195,80
15,999468.75,53.515,151.455,314.585,9.57,0.89,0.235,80
16,999411.13,62.815,159.9,353.215,10.65,1.02,0.27,80
17,999349.535,66.275,176.325,394.045,11.39,1.13,0.3,80
18,999283.795,71.125,190.85,439.19,12.39,1.27,0.38,80
19,999211.0,73.77,210.475,488.445,13.355,1.495,0.46,80
20,999131.12,85.68,223.055,542.46,14.58,1.57,0.535,80
21,999046.12,93.875,241.27,599.53,15.93,1.64,0.635,80
22,998955.3,105.425,256.545,661.69,17.495,1.855,0.69,80
23,998857.55,114.215,277.175,728.51,18.835,1.915,0.8,80
24,998752.465,126.885,296.335,800.21,19.995,2.22,0.89,80
25,998639.945,130.08,327.73,876.225,21.645,2.4,0.975,80
26,998516.31,143.06,351.875,960.79,23.385,2.515,1.065,80
27,998383.555,156.55,376.98,1052.775,25.22,2.715,1.205,80
28,998240.97,172.015,404.315,1150.015,27.365,2.975,1.345,80
29,998087.74,185.35,437.445,1254.33,29.575,3.065,1.495,80
30,997921.845,196.315,475.515,1368.13,32.105,3.46,1.63,80
31,997739.29,210.955,517.95,1490.485,34.735,3.77,1.815,80
32,997543.34,238.84,548.24,1625.425,37.245,3.87,2.04,80
33,997335.6,244.255,606.525,1766.3,39.88,4.23,2.21,80
34,997105.71,277.705,641.875,1923.645,43.155,4.52,2.39,80
35,996862.535,300.08,693.945,2087.9,46.965,4.985,2.59,80
36,996599.625,313.685,760.195,2266.695,50.59,5.375,2.835,80
37,996309.15,347.145,817.29,2461.6,54.765,5.94,3.11,80
38,995999.485,368.09,890.225,2672.765,58.57,6.51,3.355,80
39,995662.27,402.015,958.005,2902.875,63.23,6.9,3.705,80
40,995302.505,435.485,1031.155,3150.24,68.295,7.27,4.05,80
41,994911.135,468.905,1117.605,3415.155,73.69,8.09,4.42,80
42,994487.23,496.415,1219.175,3702.705,80.01,8.515,4.95,80
43,994025.525,557.185,1299.47,4015.515,86.585,9.31,5.41,80
44,993535.18,583.11,1421.565,4349.43,93.71,10.075,5.93,80
45,992996.2,635.7,1532.975,4716.135,100.895,10.645,6.45,80
46,992413.805,691.085,1656.76,5109.255,109.28,11.785,7.03,80
47,991788.115,737.335,1799.005,5535.87,118.55,12.485,7.64,80
48,991107.7,808.04,1932.865,5999.55,128.53,13.995,8.32,80
49,990378.72,862.505,2097.27,6497.595,138.945,14.815,9.15,80
50,989585.62,934.015,2266.435,7036.035,150.66,16.31,9.925,80
51,988730.195,1000.85,2456.38,7620.025,163.28,17.615,10.655,80
52,987802.125,1085.055,2653.185,8251.9,176.285,18.96,11.49,80
53,986808.26,1173.855,2857.335,8935.89,190.41,20.685,12.565,80
54,985736.135,1290.03,3059.64,9670.845,206.4,22.39,13.56,80
55,984586.89,1364.205,3328.795,10457.25,222.655,24.53,14.675,80
56,983337.53,1483.83,3581.145,11314.575,239.455,26.59,15.875,80
57,981995.55,1587.155,3876.51,12234.965,259.28,28.335,17.205,80
58,980545.64,1717.44,4174.215,13231.795,280.26,31.03,18.62,80
59,978982.89,1845.45,4507.715,14305.715,303.58,33.505,20.145,80
60,977299.015,2002.86,4845.5,15466.505,327.325,35.915,21.88,80
61,975498.465,2146.74,5226.855,16711.685,352.645,39.045,23.565,80
62,973558.245,2290.7,5646.41,18055.765,380.34,42.1,25.44,80
63,971467.14,2468.68,6071.81,19508.205,410.2,45.435,27.53,80
64,969218.975,2683.235,6503.495,21072.6,441.91,48.96,29.825,80
65,966819.94,2850.185,7015.1,22751.2,477.35,52.97,32.255,80
66,964240.245,3064.945,7526.47,24561.735,513.95,56.615,35.04,80
67,961475.855,3276.05,8094.905,26499.03,553.54,61.855,37.765,80
68,958509.775,3519.39,8683.955,28581.725,596.925,66.26,40.97,80
69,955345.965,3773.61,9306.91,30815.495,641.51,71.37,44.14,80
70,951963.035,4033.88,9967.87,33221.02,688.265,77.045,47.885,80
71,948346.2,4366.495,10624.145,35788.39,738.935,82.92,51.915,80
72,944508.045,4649.265,11378.485,38527.09,791.1,88.96,56.055,80
73,943362.3,2009.26,12160.655,41461.495,849.965,94.895,60.43,80
74,942136.07,1598.805,10588.725,44596.525,911.6,102.165,65.11,80
75,941075.97,1354.535,9098.155,47349.205,941.57,109.255,70.31,80
76,940167.105,1160.195,7802.05,49731.155,946.595,116.445,75.455,80
77,939384.26,998.645,6689.585,51791.315,932.26,121.665,81.27,80
78,938713.42,855.6,5737.665,53573.875,905.615,125.245,87.58,80
79,938140.195,733.155,4919.29,55116.265,868.3,128.265,93.53,80
80,937648.455,627.9,4220.73,56449.78,823.385,128.605,100.145,80
81,937227.895,536.585,3619.525,57604.295,775.97,128.15,106.58,80
82,936863.73,464.605,3103.01,58602.515,726.075,126.095,112.97,80
83,936554.58,396.095,2662.265,59468.305,675.735,122.165,119.855,80
84,936286.295,341.76,2281.485,60219.785,625.08,118.735,125.86,80
85,936058.065,292.135,1954.615,60871.5,577.065,113.865,131.755,80
86,935861.585,250.965,1677.005,61435.5,528.08,108.5,137.365,80
87,935693.97,214.285,1438.84,61922.385,483.385,103.295,142.84,80
88,935551.01,182.66,1233.265,62346.65,440.23,97.005,148.18,80
89,935427.76,157.285,1057.49,62712.485,400.085,91.215,152.68,80
90,935321.605,135.61,907.73,63029.55,362.235,84.98,157.29,80
91,935230.145,116.505,777.875,63306.02,326.855,80.22,161.38,80
92,935152.63,99.475,666.415,63545.68,295.465,73.765,165.57,80
93,935086.18,85.145,570.34,63753.66,266.035,68.465,169.175,80
