Date,S,E,I,R,H,C,D,index
0,999935.0,15.0,48.0,0.0,1.0,0.0,0.0,118
1,999916.805,21.895,46.625,12.09,1.545,0.04,0.0,118
2,999899.07,22.26,52.12,23.585,1.9,0.065,0.0,118
3,999879.59,23.95,56.34,36.66,2.355,0.1,0.005,118
4,999858.035,27.26,59.97,50.7,2.855,0.175,0.005,118
5,999835.73,29.125,64.43,66.195,3.285,0.225,0.01,118
6,999811.325,32.775,68.24,82.695,3.685,0.255,0.025,118
7,999785.33,31.73,77.57,99.84,4.145,0.345,0.04,118
8,999756.04,35.09,82.775,120.005,4.685,0.355,0.05,118
9,999724.685,38.46,88.885,141.33,5.175,0.41,0.055,118
10,999690.1,35.64,102.86,163.99,5.825,0.505,0.08,118
11,999651.065,42.285,108.71,189.8,6.485,0.55,0.105,118
12,999609.805,45.745,118.455,217.135,7.125,0.585,0.15,118
13,999564.63,50.025,128.535,246.935,7.97,0.72,0.185,118
14,999516.385,49.63,143.785,279.72,8.415,0.85,0.215,118
15,999462.105,55.275,154.645,316.385,9.37,0.98,0.24,118
16,999402.335,65.78,163.075,356.14,10.345,1.055,0.27,118
17,999340.06,67.82,180.155,398.17,11.34,1.15,0.305,118
18,999271.415,74.71,194.565,444.515,12.16,1.28,0.355,118
19,999197.085,76.975,215.535,494.615,13.03,1.35,0.41,118
20,999115.97,87.935,227.82,551.0,14.33,1.445,0.5,118
21,999028.945,97.26,245.79,609.145,15.63,1.69,0.54,118
22,998936.345,108.78,262.365,671.525,17.57,1.775,0.64,118
23,998837.355,116.795,285.085,738.125,18.97,1.95,0.72,118
24,998729.735,130.985,302.835,811.925,20.545,2.16,0.815,118
25,998614.94,133.505,335.62,889.5,22.165,2.365,0.905,118
26,998486.455,149.31,359.755,975.795,24.095,2.545,1.045,118
27,998350.855,162.415,388.505,1067.26,26.055,2.72,1.19,118
28,998203.595,178.975,416.61,1167.41,28.055,3.02,1.335,118
29,998045.01,194.095,451.1,1273.97,29.99,3.365,1.47,118
30,997872.745,206.865,490.075,1391.695,32.425,3.59,1.605,118
31,997686.69,218.185,535.32,1517.92,35.35,3.785,1.75,118
32,997482.715,249.73,568.03,1654.235,38.18,4.195,1.915,118
33,997268.175,255.515,625.92,1801.33,41.525,4.35,2.185,118
34,997030.42,289.535,663.895,1963.2,44.825,4.75,2.375,118
35,996776.89,315.85,715.345,2134.42,48.47,5.43,2.595,118
36,996505.93,328.165,785.68,2318.585,52.08,5.745,2.815,118
37,996207.61,360.515,844.63,2520.635,56.32,6.175,3.115,118
38,995884.9,387.55,918.325,2736.835,61.34,6.64,3.41,118
39,995535.78,421.265,992.51,2971.945,66.585,7.225,3.69,118
40,995160.455,458.65,1068.85,3227.97,71.295,7.7,4.08,118
41,994755.22,491.83,1160.435,3502.09,76.525,8.385,4.515,118
42,994316.385,520.24,1264.795,3800.96,82.595,9.105,4.92,118
43,993839.29,581.96,1349.375,4124.19,88.785,10.055,5.345,118
44,993327.82,615.29,1471.94,4471.75,95.645,10.74,5.815,118
45,992769.77,667.8,1590.245,4849.79,103.465,11.505,6.425,118
46,992172.345,718.47,1717.68,5258.86,112.095,12.61,6.94,118
47,991523.38,771.395,1860.365,5700.285,122.635,13.455,7.485,118
48,990822.875,843.46,2000.86,6176.82,132.42,14.33,8.235,118
49,990069.11,903.17,2168.25,6690.085,144.16,15.405,8.82,118
50,989247.505,978.985,2341.76,7248.105,156.565,16.435,9.645,118
51,988368.075,1042.63,2538.515,7851.81,169.435,18.02,10.515,118
52,987414.49,1128.11,2736.62,8505.445,183.435,19.475,11.425,118
53,986381.48,1231.165,2943.08,9211.405,198.075,21.285,12.51,118
54,985277.87,1341.835,3157.14,9971.265,214.29,23.125,13.475,118
55,984094.06,1421.155,3429.595,10783.375,231.21,25.025,14.58,118
56,982809.66,1541.225,3690.85,11665.095,249.32,27.04,15.81,118
57,981428.05,1646.745,3993.905,12615.115,268.43,29.575,17.18,118
58,979935.885,1783.055,4293.05,13644.04,292.125,32.12,18.725,118
59,978331.545,1912.72,4634.405,14751.8,313.495,34.645,20.39,118
60,976610.89,2063.9,4979.455,15947.61,337.76,37.23,22.155,118
61,974762.82,2215.155,5362.89,17230.295,363.67,40.115,24.055,118
62,972770.01,2369.495,5788.685,18609.935,391.96,43.04,25.875,118
63,970630.405,2546.645,6219.65,20105.225,422.56,46.395,28.12,118
64,968337.655,2757.255,6658.605,21709.85,454.865,50.3,30.47,118
65,965886.96,2930.175,7181.365,23424.34,488.88,54.295,32.985,118
66,963247.165,3157.1,7699.95,25273.21,527.93,58.06,35.585,118
67,960423.555,3368.22,8281.19,27257.81,566.745,63.08,38.4,118
68,957400.84,3611.27,8877.82,29390.15,609.925,67.47,41.525,118
69,954170.255,3879.09,9498.47,31677.505,655.74,73.1,44.84,118
70,950725.255,4158.985,10162.385,34119.98,705.76,78.075,48.56,118
71,947040.14,4459.77,10862.635,36742.31,756.99,84.69,52.465,118
72,943127.175,4743.705,11628.5,39541.03,810.875,91.065,56.65,118
73,942292.95,1714.655,12418.46,42544.385,870.08,97.175,61.295,118
74,941403.69,1208.65,10539.86,45744.285,932.165,104.19,66.16,118
75,940651.265,977.545,8741.86,48485.875,959.715,111.11,71.63,118
76,940021.435,811.145,7230.78,50780.66,961.0,116.915,77.065,118
77,939502.435,669.055,5983.7,52699.57,938.325,123.08,82.835,118
78,939073.45,552.66,4951.855,54303.5,901.85,126.495,89.19,118
79,938720.53,456.285,4091.81,55651.575,854.35,129.155,95.295,118
80,938428.785,375.925,3385.26,56777.16,800.535,129.59,101.745,118
81,938186.975,311.655,2794.675,57725.27,743.66,128.635,108.13,118
82,937985.71,259.565,2311.395,58516.13,685.635,125.985,114.58,118
