Date,S,E,I,R,H,C,D
85,945398.755,359.055,1893.985,51220.73,645.63,245.455,236.39
86,945139.105,313.725,1657.54,51794.4,606.83,239.785,248.615
87,944909.91,277.115,1449.57,52300.335,568.685,234.105,260.28
88,944711.67,240.72,1268.79,52748.815,531.175,227.27,271.56
89,944536.81,211.19,1109.315,53145.63,495.465,218.73,282.86
90,944383.455,184.635,971.635,53495.66,461.78,209.25,293.585
91,944249.545,161.955,850.345,53804.35,429.555,200.475,303.775
92,944131.69,142.33,744.47,54078.45,397.895,191.6,313.565
93,944029.595,124.3,652.39,54320.16,368.39,182.02,323.145
94,943939.545,108.075,572.585,54534.89,340.615,172.37,331.92
95,943860.135,95.655,500.845,54726.505,313.735,162.615,340.51
96,943791.93,82.45,439.075,54894.89,289.965,153.155,348.535
97,943732.435,71.85,382.52,55045.59,267.03,144.545,356.03
98,943680.185,63.015,333.965,55178.825,245.355,135.385,363.27
99,943634.4,55.47,290.95,55297.12,225.63,126.145,370.285
100,943595.065,47.78,254.935,55400.995,207.02,117.54,376.665
101,943560.22,42.145,223.095,55492.765,189.53,109.87,382.375
102,943529.27,37.225,195.4,55574.165,173.68,102.6,387.66
103,943502.035,32.9,171.625,55646.6,159.035,95.22,392.585
104,943478.525,28.545,150.17,55711.18,145.9,88.455,397.225
105,943457.745,25.15,131.68,55768.51,133.175,82.39,401.35
106,943439.635,21.86,115.665,55819.29,121.745,76.675,405.13
107,943424.485,18.365,101.46,55864.4,111.195,70.96,409.135
108,943410.455,16.68,88.61,55904.805,101.085,65.675,412.69
109,943398.31,14.875,77.485,55940.94,91.875,60.68,415.835
110,943387.63,13.025,67.88,55972.835,84.0,56.01,418.62
111,943378.295,11.355,59.41,56001.12,76.65,51.86,421.31
112,943370.035,10.11,51.83,56026.555,69.915,47.905,423.65
113,943362.925,8.605,45.28,56049.81,63.485,43.91,425.985
114,943356.44,7.82,39.895,56069.86,57.68,40.26,428.045
115,943350.785,6.96,34.86,56087.785,52.665,36.89,430.055
116,943345.95,5.765,30.895,56103.77,47.845,34.06,431.715
117,943341.65,5.285,26.64,56118.26,43.505,31.35,433.31
118,943338.01,4.52,23.21,56131.055,39.565,28.83,434.81
119,943334.825,3.905,20.305,56142.33,35.94,26.615,436.08
120,943332.05,3.475,17.95,56152.275,32.565,24.32,437.365
121,943329.625,2.925,15.975,56161.2,29.755,21.88,438.64
122,943327.585,2.56,13.625,56169.6,27.115,19.84,439.675
123,943325.745,2.17,12.025,56176.665,24.76,18.11,440.525
124,943324.15,1.96,10.46,56183.06,22.46,16.58,441.33
125,943322.735,1.74,9.175,56188.76,20.28,15.165,442.145
126,943321.585,1.4,8.075,56193.96,18.42,13.665,442.895
127,943320.47,1.355,6.97,56198.405,16.645,12.55,443.605
128,943319.515,1.135,6.2,56202.55,14.965,11.405,444.23
129,943318.775,0.94,5.365,56206.05,13.56,10.58,444.73
130,943318.055,0.89,4.78,56209.22,12.23,9.56,445.265
131,943317.4,0.775,4.155,56212.16,11.055,8.72,445.735
132,943316.795,0.71,3.68,56214.685,10.04,7.85,446.24
133,943316.25,0.67,3.215,56216.99,9.175,7.105,446.595
134,943315.84,0.51,2.805,56219.245,8.255,6.38,446.965
135,943315.475,0.46,2.435,56221.115,7.49,5.79,447.235
136,943315.095,0.465,2.125,56222.595,6.835,5.345,447.54
137,943314.775,0.405,1.775,56224.21,6.185,4.875,447.775
138,943314.56,0.265,1.635,56225.55,5.59,4.38,448.02
139,943314.37,0.22,1.42,56226.75,5.04,3.95,448.25
140,943314.18,0.22,1.175,56227.8,4.53,3.69,448.405
141,943314.045,0.175,1.09,56228.76,4.06,3.25,448.62
142,943313.915,0.155,0.905,56229.63,3.655,2.955,448.785
143,943313.81,0.125,0.8,56230.3,3.39,2.6,448.975
144,943313.695,0.115,0.71,56230.905,3.095,2.385,449.095
145,943313.615,0.095,0.575,56231.505,2.775,2.26,449.175
146,943313.555,0.07,0.49,56231.985,2.54,2.04,449.32
147,943313.505,0.065,0.44,56232.455,2.24,1.855,449.44
148,943313.485,0.035,0.355,56232.89,1.99,1.71,449.535
149,943313.435,0.055,0.275,56233.245,1.78,1.595,449.615
150,943313.39,0.045,0.235,56233.59,1.62,1.445,449.675
151,943313.355,0.045,0.22,56233.83,1.47,1.315,449.765
152,943313.31,0.055,0.18,56234.155,1.32,1.15,449.83
153,943313.245,0.075,0.185,56234.39,1.185,1.03,449.89
154,943313.175,0.09,0.185,56234.59,1.07,0.94,449.95
155,943313.14,0.07,0.17,56234.815,0.945,0.845,450.015
156,943313.08,0.065,0.18,56234.995,0.845,0.765,450.07
157,943313.0,0.08,0.2,56235.16,0.765,0.7,450.095
158,943312.92,0.09,0.245,56235.315,0.675,0.64,450.115
159,943312.835,0.1,0.235,56235.56,0.595,0.545,450.13
160,943312.705,0.135,0.26,56235.67,0.565,0.52,450.145
161,943312.63,0.1,0.25,56235.86,0.525,0.455,450.18
162,943312.54,0.11,0.275,56235.995,0.485,0.41,450.185
163,943312.47,0.075,0.34,56236.115,0.445,0.36,450.195
164,943312.335,0.15,0.305,56236.255,0.405,0.34,450.21
165,943312.225,0.16,0.32,56236.405,0.365,0.31,450.215
166,943312.13,0.105,0.38,56236.54,0.345,0.26,450.24
167,943312.0,0.145,0.36,56236.675,0.34,0.23,450.25
168,943311.815,0.2,0.36,56236.865,0.3,0.19,450.27
169,943311.68,0.155,0.44,56236.995,0.265,0.185,450.28
170,943311.485,0.205,0.46,56237.135,0.26,0.165,450.29
171,943311.32,0.185,0.505,56237.3,0.25,0.14,450.3
172,943311.095,0.265,0.51,56237.48,0.225,0.12,450.305
173,943310.95,0.175,0.595,56237.645,0.185,0.14,450.31
174,943310.77,0.195,0.595,56237.83,0.18,0.12,450.31
175,943310.565,0.235,0.585,56238.02,0.16,0.12,450.315
176,943310.35,0.25,0.64,56238.165,0.15,0.13,450.315
177,943310.115,0.255,0.695,56238.35,0.125,0.145,450.315
178,943309.83,0.34,0.74,56238.515,0.12,0.135,450.32
179,943309.585,0.31,0.84,56238.715,0.105,0.125,450.32
180,943309.31,0.32,0.86,56238.97,0.095,0.125,450.32
181,943309.07,0.31,0.875,56239.21,0.1,0.11,450.325
182,943308.63,0.5,0.905,56239.445,0.085,0.11,450.325
183,943308.325,0.405,1.045,56239.735,0.07,0.095,450.325
184,943307.945,0.43,1.06,56240.065,0.08,0.08,450.34
185,943307.535,0.475,1.16,56240.32,0.1,0.065,450.345
186,943307.175,0.41,1.18,56240.73,0.1,0.045,450.36
187,943306.72,0.53,1.23,56241.01,0.11,0.04,450.36
188,943306.295,0.505,1.285,56241.395,0.12,0.04,450.36
189,943305.735,0.61,1.37,56241.76,0.13,0.035,450.36
190,943305.19,0.62,1.54,56242.125,0.125,0.035,450.365
191,943304.645,0.62,1.595,56242.61,0.12,0.045,450.365
192,943304.045,0.695,1.68,56243.06,0.11,0.045,450.365
193,943303.31,0.875,1.705,56243.54,0.15,0.055,450.365
194,943302.635,0.815,1.93,56244.03,0.17,0.05,450.37
195,943301.965,0.855,1.985,56244.575,0.185,0.065,450.37
196,943301.14,0.995,2.05,56245.16,0.225,0.05,450.38
197,943300.37,0.94,2.38,56245.64,0.25,0.035,450.385
198,943299.525,1.035,2.48,56246.275,0.245,0.055,450.385
199,943298.64,1.025,2.665,56246.975,0.26,0.045,450.39
200,943297.705,1.1,2.69,56247.795,0.28,0.04,450.39
201,943296.67,1.2,2.875,56248.5,0.315,0.04,450.4
202,943295.59,1.255,3.03,56249.36,0.315,0.05,450.4
203,943294.48,1.285,3.275,56250.17,0.335,0.045,450.41
204,943293.28,1.395,3.51,56250.985,0.355,0.065,450.41
205,943291.965,1.505,3.605,56252.045,0.39,0.08,450.41
206,943290.565,1.63,3.805,56253.085,0.42,0.075,450.42
207,943289.115,1.71,3.975,56254.26,0.45,0.07,450.42
208,943287.635,1.765,4.165,56255.51,0.41,0.095,450.42
209,943286.1,1.77,4.505,56256.66,0.425,0.115,450.425
210,943284.34,1.995,4.835,56257.83,0.43,0.14,450.43
211,943282.535,2.215,5.095,56259.18,0.395,0.145,450.435
212,943280.575,2.26,5.42,56260.715,0.445,0.15,450.435
213,943278.355,2.625,5.675,56262.275,0.48,0.14,450.45
214,943276.135,2.65,6.265,56263.78,0.58,0.14,450.45
215,943273.735,2.79,6.59,56265.685,0.59,0.15,450.46
