Date,S,E,I,R,H,C,D,index
0,999953.0,8.0,38.0,0.0,1.0,0.0,0.0,78
1,999937.385,16.97,33.78,10.3,1.535,0.03,0.0,78
2,999923.765,16.565,37.955,19.82,1.77,0.125,0.0,78
3,999908.515,17.46,41.505,30.13,2.17,0.2,0.02,78
4,999892.1,19.895,43.67,41.53,2.495,0.28,0.03,78
5,999874.78,21.92,46.575,53.47,2.835,0.385,0.035,78
6,999856.265,24.975,48.345,66.73,3.185,0.455,0.045,78
7,999837.045,21.845,56.83,80.025,3.675,0.525,0.055,78
8,999813.87,25.22,60.515,95.585,4.135,0.605,0.07,78
9,999789.74,27.835,64.785,112.235,4.595,0.69,0.12,78
10,999763.41,22.63,78.07,129.845,5.11,0.795,0.14,78
11,999732.305,28.665,80.315,151.76,5.86,0.895,0.2,78
12,999700.425,30.955,86.945,173.95,6.46,1.025,0.24,78
13,999665.685,33.145,95.045,197.5,7.14,1.18,0.305,78
14,999627.125,31.865,107.885,223.48,7.905,1.375,0.365,78
15,999583.62,36.43,115.45,253.77,8.72,1.59,0.42,78
16,999537.0,44.58,120.735,285.9,9.42,1.86,0.505,78
17,999488.035,45.65,133.76,319.515,10.375,2.07,0.595,78
18,999434.805,49.795,144.67,356.495,11.29,2.23,0.715,78
19,999377.405,48.635,161.32,396.925,12.42,2.475,0.82,78
20,999313.25,59.28,168.73,441.7,13.41,2.7,0.93,78
21,999244.935,66.295,181.63,488.54,14.5,3.015,1.085,78
22,999172.545,76.905,191.825,538.65,15.515,3.355,1.205,78
23,999095.985,81.845,209.15,591.335,16.67,3.625,1.39,78
24,999012.12,94.045,220.62,649.685,18.275,3.69,1.565,78
25,998923.55,92.325,247.765,710.865,19.775,3.995,1.725,78
26,998823.95,103.56,265.975,779.055,21.09,4.44,1.93,78
27,998717.905,115.1,284.5,852.84,22.745,4.725,2.185,78
28,998602.32,130.065,303.12,932.525,24.51,5.03,2.43,78
29,998480.52,139.8,328.24,1016.66,26.47,5.63,2.68,78
30,998350.35,143.615,361.11,1107.545,28.405,6.02,2.955,78
31,998205.36,151.36,394.76,1208.29,30.435,6.54,3.255,78
32,998047.255,179.255,412.545,1317.07,33.195,7.2,3.48,78
33,997881.84,178.605,461.315,1431.065,35.585,7.78,3.81,78
34,997697.39,207.9,484.305,1559.165,38.575,8.49,4.175,78
35,997503.775,227.475,519.87,1693.61,41.395,9.24,4.635,78
36,997295.935,232.87,574.07,1837.27,44.86,9.895,5.1,78
37,997065.48,257.805,616.03,1995.845,48.55,10.735,5.555,78
