Date,S,E,I,R,H,C,D,index
0,999935.0,15.0,48.0,0.0,1.0,0.0,0.0,108
1,999916.965,21.75,46.785,11.895,1.565,0.04,0.0,108
2,999898.62,22.61,51.9,23.73,2.055,0.085,0.0,108
3,999879.315,23.77,56.6,36.53,2.66,0.12,0.005,108
4,999857.725,27.03,59.795,51.075,3.17,0.195,0.01,108
5,999835.085,29.235,64.435,66.44,3.5,0.29,0.015,108
6,999810.835,32.465,68.275,83.17,3.925,0.295,0.035,108
7,999785.235,31.05,77.2,100.705,4.395,0.37,0.045,108
8,999755.285,35.52,82.15,120.725,4.815,0.44,0.065,108
9,999723.935,38.675,88.39,142.065,5.265,0.595,0.075,108
10,999690.62,34.465,103.2,164.305,5.665,0.65,0.095,108
11,999651.335,42.0,107.305,191.1,6.42,0.705,0.135,108
12,999609.435,46.675,115.695,219.13,7.2,0.7,0.165,108
13,999566.1,48.525,126.69,248.955,7.785,0.74,0.205,108
14,999517.01,49.27,141.835,281.115,8.72,0.815,0.235,108
15,999462.86,54.99,152.63,317.725,9.715,0.81,0.27,108
16,999406.325,62.33,161.245,356.9,11.025,0.88,0.295,108
17,999344.125,66.42,177.02,398.33,11.635,1.12,0.35,108
18,999277.345,72.565,191.685,443.13,12.64,1.215,0.42,108
19,999204.44,73.915,212.935,492.205,13.675,1.37,0.46,108
20,999122.88,86.735,225.465,547.08,14.82,1.5,0.52,108
21,999036.445,95.55,244.48,604.25,16.075,1.61,0.59,108
22,998943.125,109.115,259.485,667.575,17.275,1.795,0.63,108
23,998845.27,115.775,282.195,734.375,18.715,1.96,0.71,108
24,998737.615,130.715,300.235,807.17,20.34,2.135,0.79,108
25,998623.085,133.78,332.73,884.295,21.8,2.45,0.86,108
26,998498.93,145.095,357.055,970.825,23.63,2.495,0.97,108
27,998362.865,161.07,382.785,1062.905,25.53,2.78,1.065,108
28,998218.42,174.975,411.915,1161.97,27.655,2.88,1.185,108
29,998061.105,191.22,444.455,1267.395,30.3,3.215,1.31,108
30,997892.93,201.26,484.28,1383.085,32.495,3.49,1.46,108
31,997709.765,213.665,528.2,1507.175,34.795,3.735,1.665,108
32,997508.925,244.715,559.655,1641.875,37.95,4.02,1.86,108
33,997298.225,248.745,620.025,1784.435,41.085,4.43,2.055,108
34,997062.255,285.96,654.65,1944.3,44.77,4.83,2.235,108
35,996813.215,308.535,708.13,2112.88,48.47,5.245,2.525,108
36,996543.92,324.905,775.67,2294.13,51.815,5.785,2.775,108
37,996249.7,355.64,834.445,2493.885,56.1,6.14,3.09,108
38,995933.7,378.915,906.815,2709.0,60.495,6.68,3.395,108
39,995589.15,414.155,975.77,2943.385,65.595,7.255,3.69,108
40,995217.87,450.885,1053.835,3194.06,70.45,7.84,4.06,108
41,994816.455,485.17,1141.8,3465.81,76.995,8.375,4.395,108
42,994386.865,508.46,1245.195,3761.57,83.04,9.03,4.84,108
43,993916.49,570.97,1323.31,4083.6,89.395,9.905,5.33,108
44,993414.78,601.7,1446.07,4423.24,96.695,10.66,5.855,108
45,992867.95,651.735,1561.045,4796.35,103.89,11.61,6.42,108
46,992276.69,704.875,1687.29,5197.81,112.705,12.615,7.015,108
47,991642.025,752.93,1828.98,5631.925,121.845,13.685,7.61,108
48,990950.235,828.17,1961.645,6104.14,131.795,14.82,8.195,108
49,990210.745,882.97,2127.495,6610.515,142.32,16.035,8.92,108
50,989405.995,954.875,2300.115,7156.925,154.19,17.155,9.745,108
51,988540.7,1018.47,2493.62,7750.84,166.3,18.52,10.55,108
52,987603.57,1101.695,2688.38,8393.86,179.92,20.055,11.52,108
53,986594.36,1197.73,2891.01,9088.285,193.505,21.48,12.63,108
54,985506.695,1312.42,3100.345,9833.115,209.945,22.695,13.785,108
55,984342.91,1385.56,3372.925,10631.99,226.07,24.665,14.88,108
56,983081.025,1504.83,3624.8,11501.44,243.895,26.875,16.135,108
57,981725.745,1606.57,3920.19,12437.24,262.51,29.375,17.37,108
58,980261.955,1737.255,4216.93,13448.18,284.095,31.705,18.88,108
59,978685.22,1865.005,4550.5,14536.59,307.19,34.115,20.38,108
60,976991.865,2018.12,4886.385,15712.095,331.67,36.84,22.025,108
61,975173.285,2169.535,5262.845,16970.81,359.075,39.7,23.75,108
62,973221.325,2310.23,5685.27,18327.86,386.325,42.34,25.65,108
63,971115.87,2488.5,6109.545,19795.335,416.015,45.94,27.795,108
64,968861.165,2697.335,6544.505,21369.39,447.06,49.595,29.95,108
65,966449.405,2867.815,7060.64,23053.205,482.495,53.055,32.385,108
66,963850.505,3090.045,7573.17,24873.685,519.435,57.175,34.985,108
67,961069.675,3297.45,8148.715,26825.19,558.905,61.18,37.885,108
68,958092.04,3535.295,8746.005,28919.12,598.825,66.815,40.9,108
69,954909.205,3795.905,9364.65,31169.505,643.825,71.745,44.165,108
70,951503.8,4065.035,10028.945,33585.435,690.23,77.69,47.865,108
71,947871.01,4390.775,10690.73,36169.36,741.765,83.74,51.62,108
72,944010.57,4679.32,11445.305,38922.97,795.345,89.585,55.905,108
73,943569.885,1313.41,12228.97,41875.085,855.67,95.755,60.225,108
74,943097.9,716.85,10067.41,45031.445,917.07,103.35,64.975,108
75,942708.33,523.165,7991.56,47654.735,941.34,109.695,70.175,108
76,942400.06,404.71,6309.515,49758.975,933.64,116.41,75.69,108
77,942156.95,318.94,4973.58,51446.19,900.165,121.905,81.27,108
78,941967.095,249.84,3920.205,52797.48,852.17,124.86,87.35,108
79,941816.95,196.675,3088.665,53880.18,797.065,125.895,93.57,108
80,941698.555,155.5,2433.785,54750.105,736.21,124.885,99.96,108
81,941604.95,122.53,1916.63,55452.345,674.2,122.2,106.145,108
82,941531.22,96.575,1510.67,56016.205,613.52,118.63,112.18,108
83,941473.32,76.125,1190.665,56473.215,553.79,113.47,118.415,108
84,941428.47,58.965,936.96,56844.21,498.795,107.535,124.065,108
85,941392.82,46.395,738.19,57142.93,447.77,101.725,129.17,108
86,941364.405,36.995,581.115,57387.57,399.125,95.63,134.16,108
87,941342.115,28.87,458.17,57586.04,356.505,88.485,138.815,108
88,941324.495,22.97,360.73,57749.275,316.255,81.775,143.5,108
89,941310.585,18.145,284.69,57881.855,280.68,75.695,147.35,108
90,941300.205,13.85,223.87,57992.7,248.095,69.13,151.15,108
91,941291.81,11.1,175.64,58084.285,218.535,63.14,154.49,108
92,941285.105,8.975,138.12,58159.75,192.375,57.04,157.635,108
93,941279.935,6.855,108.965,58222.235,169.2,51.465,160.345,108
94,941275.625,5.665,85.24,58274.775,148.115,46.78,162.8,108
95,941272.34,4.31,67.345,58318.405,129.295,42.135,165.17,108
96,941269.66,3.52,53.09,58354.74,112.945,37.8,167.245,108
97,941267.745,2.605,42.27,58384.365,99.215,33.74,169.06,108
98,941266.155,2.015,32.955,58410.59,86.69,29.955,170.64,108
99,941264.955,1.53,26.345,58431.26,76.245,26.485,172.18,108
100,941263.945,1.245,20.75,58449.415,66.59,23.685,173.37,108
101,941263.08,1.055,16.065,58465.09,58.25,20.88,174.58,108
102,941262.46,0.825,12.735,58477.96,50.96,18.49,175.57,108
103,941261.355,1.295,9.835,58489.355,44.29,16.42,176.45,108
104,941260.375,1.24,8.285,58498.935,38.52,14.4,177.245,108
105,941259.54,1.05,7.195,58506.6,33.785,12.85,177.98,108
106,941258.84,0.92,6.18,58513.845,29.295,11.305,178.615,108
107,941258.24,0.81,5.375,58520.19,25.295,9.985,179.105,108
108,941257.72,0.665,4.57,58525.75,21.89,8.76,179.645,108
109,941257.22,0.63,3.895,58530.295,19.26,7.615,180.085,108
110,941256.895,0.455,3.225,58534.41,16.975,6.525,180.515,108
111,941256.57,0.415,2.795,58537.92,14.85,5.625,180.825,108
112,941256.275,0.355,2.475,58540.93,12.98,4.885,181.1,108
113,941256.115,0.225,2.045,58543.67,11.24,4.365,181.34,108
114,941255.96,0.19,1.72,58546.075,9.755,3.82,181.48,108
115,941255.79,0.22,1.42,58548.09,8.56,3.245,181.675,108
116,941255.605,0.245,1.21,58549.81,7.46,2.83,181.84,108
117,941255.47,0.18,1.135,58551.185,6.54,2.51,181.98,108
118,941255.35,0.14,1.02,58552.475,5.71,2.22,182.085,108
119,941255.26,0.125,0.89,58553.61,5.025,1.87,182.22,108
120,941255.175,0.095,0.78,58554.625,4.355,1.65,182.32,108
121,941255.115,0.07,0.635,58555.53,3.835,1.415,182.4,108
122,941255.045,0.08,0.555,58556.2,3.42,1.21,182.49,108
123,941254.98,0.08,0.45,58556.85,2.985,1.105,182.55,108
124,941254.96,0.025,0.41,58557.45,2.615,0.935,182.605,108
125,941254.92,0.04,0.32,58558.02,2.245,0.825,182.63,108
126,941254.89,0.03,0.295,58558.435,1.94,0.72,182.69,108
127,941254.855,0.035,0.26,58558.785,1.69,0.655,182.72,108
128,941254.82,0.045,0.245,58559.115,1.495,0.535,182.745,108
129,941254.81,0.02,0.225,58559.375,1.335,0.465,182.77,108
130,941254.775,0.035,0.18,58559.63,1.175,0.415,182.79,108
131,941254.75,0.03,0.16,58559.855,1.025,0.375,182.805,108
132,941254.74,0.01,0.16,58560.075,0.885,0.295,182.835,108
133,941254.705,0.04,0.125,58560.23,0.775,0.26,182.865,108
134,941254.685,0.03,0.115,58560.365,0.705,0.225,182.875,108
135,941254.67,0.015,0.13,58560.48,0.63,0.18,182.895,108
136,941254.645,0.03,0.125,58560.61,0.545,0.14,182.905,108
137,941254.63,0.015,0.12,58560.73,0.49,0.11,182.905,108
138,941254.61,0.02,0.1,58560.82,0.43,0.11,182.91,108
139,941254.595,0.015,0.095,58560.875,0.39,0.11,182.92,108
140,941254.59,0.005,0.09,58560.94,0.36,0.09,182.925,108
141,941254.59,0.0,0.08,58561.01,0.315,0.075,182.93,108
142,941254.58,0.01,0.065,58561.06,0.285,0.065,182.935,108
143,941254.57,0.01,0.055,58561.115,0.235,0.08,182.935,108
144,941254.57,0.0,0.06,58561.155,0.2,0.08,182.935,108
145,941254.57,0.0,0.045,58561.21,0.17,0.055,182.95,108
146,941254.57,0.0,0.025,58561.245,0.16,0.05,182.95,108
147,941254.57,0.0,0.02,58561.27,0.14,0.05,182.95,108
148,941254.57,0.0,0.015,58561.305,0.125,0.03,182.955,108
149,941254.57,0.0,0.01,58561.31,0.125,0.03,182.955,108
150,941254.57,0.0,0.01,58561.315,0.12,0.03,182.955,108
151,941254.57,0.0,0.01,58561.325,0.11,0.03,182.955,108
152,941254.57,0.0,0.005,58561.37,0.085,0.015,182.955,108
153,941254.57,0.0,0.005,58561.375,0.085,0.01,182.955,108
154,941254.57,0.0,0.005,58561.38,0.075,0.015,182.955,108
155,941254.57,0.0,0.005,58561.385,0.07,0.015,182.955,108
156,941254.57,0.0,0.005,58561.405,0.055,0.005,182.96,108
157,941254.565,0.005,0.0,58561.41,0.055,0.005,182.96,108
158,941254.565,0.0,0.005,58561.42,0.045,0.005,182.96,108
159,941254.565,0.0,0.005,58561.42,0.045,0.005,182.96,108
160,941254.565,0.0,0.005,58561.43,0.03,0.01,182.96,108
161,941254.555,0.01,0.005,58561.43,0.03,0.01,182.96,108
162,941254.555,0.0,0.015,58561.435,0.025,0.01,182.96,108
163,941254.555,0.0,0.01,58561.445,0.025,0.005,182.96,108
164,941254.55,0.005,0.005,58561.45,0.025,0.005,182.96,108
165,941254.54,0.01,0.01,58561.45,0.025,0.0,182.965,108
166,941254.535,0.005,0.02,58561.45,0.025,0.0,182.965,108
167,941254.535,0.0,0.02,58561.455,0.025,0.0,182.965,108
168,941254.535,0.0,0.02,58561.455,0.02,0.005,182.965,108
169,941254.525,0.01,0.01,58561.465,0.015,0.01,182.965,108
170,941254.525,0.005,0.01,58561.475,0.01,0.005,182.97,108
171,941254.525,0.0,0.01,58561.48,0.01,0.005,182.97,108
172,941254.52,0.005,0.005,58561.485,0.01,0.005,182.97,108
173,941254.52,0.0,0.005,58561.49,0.01,0.005,182.97,108
174,941254.52,0.0,0.005,58561.49,0.01,0.005,182.97,108
175,941254.52,0.0,0.005,58561.49,0.01,0.005,182.97,108
176,941254.52,0.0,0.005,58561.495,0.005,0.005,182.97,108
177,941254.52,0.0,0.005,58561.495,0.005,0.005,182.97,108
178,941254.52,0.0,0.005,58561.495,0.005,0.005,182.97,108
179,941254.52,0.0,0.005,58561.495,0.005,0.005,182.97,108
180,941254.52,0.0,0.005,58561.5,0.0,0.005,182.97,108
181,941254.52,0.0,0.005,58561.5,0.0,0.005,182.97,108
182,941254.52,0.0,0.0,58561.505,0.0,0.005,182.97,108
183,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
184,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
185,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
186,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
187,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
188,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
189,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
190,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
191,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
192,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
193,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
194,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
195,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
196,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
197,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
198,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
199,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
200,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
201,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
202,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
203,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
204,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
205,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
206,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
207,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
208,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
209,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
210,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
211,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
212,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
213,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
214,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
215,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
216,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
217,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
218,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
219,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
220,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
221,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
222,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
223,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
224,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
225,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
226,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
227,941254.52,0.0,0.0,58561.51,0.0,0.0,182.97,108
