Date,S,E,I,R,H,C,D,index
0,999953.0,8.0,38.0,0.0,1.0,0.0,0.0,39
1,999938.02,16.245,34.14,10.055,1.505,0.035,0.0,39
2,999924.055,16.62,37.845,19.525,1.865,0.075,0.015,39
3,999908.74,17.69,41.345,29.87,2.19,0.15,0.015,39
4,999892.12,20.28,43.48,41.31,2.555,0.23,0.025,39
5,999875.0,21.675,46.62,53.38,2.945,0.345,0.035,39
6,999856.625,24.685,48.37,66.505,3.305,0.465,0.045,39
7,999837.675,21.6,56.475,80.01,3.61,0.555,0.075,39
8,999815.645,23.97,59.955,95.73,3.965,0.625,0.11,39
9,999791.34,27.295,63.825,112.305,4.39,0.72,0.125,39
10,999765.315,22.04,76.93,129.795,4.95,0.81,0.16,39
11,999734.54,28.045,79.775,150.94,5.565,0.95,0.185,39
12,999702.51,30.865,86.39,172.74,6.14,1.12,0.235,39
13,999667.735,33.17,94.135,196.58,6.745,1.355,0.28,39
14,999629.92,31.365,106.815,222.67,7.325,1.565,0.34,39
15,999587.0,35.81,115.015,252.06,8.03,1.68,0.405,39
16,999540.745,44.03,119.305,284.77,8.885,1.8,0.465,39
17,999492.475,44.64,133.28,317.45,9.635,1.97,0.55,39
18,999438.895,49.46,143.375,354.92,10.485,2.245,0.62,39
19,999381.205,48.845,160.87,394.5,11.485,2.365,0.73,39
20,999316.805,59.54,168.59,438.97,12.625,2.61,0.86,39
21,999248.545,66.335,182.915,484.78,13.725,2.725,0.975,39
22,999174.78,78.175,192.3,535.995,14.73,2.935,1.085,39
23,999097.445,84.025,210.49,587.8,15.875,3.15,1.215,39
24,999012.19,97.075,222.36,646.035,17.545,3.415,1.38,39
25,998923.41,94.12,249.705,708.49,18.995,3.78,1.5,39
26,998822.57,106.03,268.02,776.825,20.715,4.125,1.715,39
27,998715.205,117.975,286.75,851.185,22.44,4.545,1.9,39
28,998598.815,132.275,307.73,929.71,24.325,5.03,2.115,39
29,998473.635,144.215,332.7,1015.16,26.56,5.38,2.35,39
30,998339.255,150.605,365.66,1107.23,28.825,5.8,2.625,39
31,998193.58,155.82,401.3,1209.065,30.91,6.485,2.84,39
32,998033.33,184.67,417.715,1320.71,33.41,7.03,3.135,39
33,997864.555,185.43,467.285,1435.465,36.245,7.52,3.5,39
34,997677.035,214.48,493.475,1563.845,39.06,8.25,3.855,39
35,997477.87,235.785,529.765,1701.295,42.055,9.005,4.225,39
36,997265.51,241.11,585.535,1847.985,45.505,9.71,4.645,39
37,997030.495,266.44,628.85,2009.175,49.215,10.675,5.15,39
38,996779.455,280.82,687.685,2181.34,53.545,11.52,5.635,39
