Date,S,E,I,R,H,C,D,index
0,999953.0,8.0,38.0,0.0,1.0,0.0,0.0,18
1,999937.675,16.69,33.785,10.255,1.545,0.05,0.0,18
2,999924.41,16.085,37.84,19.695,1.87,0.1,0.0,18
3,999909.285,17.18,40.665,30.53,2.185,0.15,0.005,18
4,999892.63,20.115,42.735,41.7,2.57,0.24,0.01,18
5,999875.835,21.31,45.97,53.575,2.975,0.325,0.01,18
6,999857.725,24.005,48.26,66.3,3.2,0.49,0.02,18
7,999838.095,21.845,56.38,79.455,3.57,0.615,0.04,18
8,999815.76,24.625,59.78,94.99,4.07,0.69,0.085,18
9,999792.335,26.865,63.945,111.485,4.515,0.74,0.115,18
10,999766.08,22.06,76.625,129.15,5.055,0.88,0.15,18
11,999735.725,27.55,79.635,150.155,5.73,1.01,0.195,18
12,999703.75,30.51,85.62,172.235,6.555,1.09,0.24,18
13,999669.615,32.64,93.44,195.535,7.18,1.315,0.275,18
14,999631.915,30.985,106.64,220.765,7.865,1.495,0.335,18
15,999588.875,35.725,114.22,250.61,8.515,1.68,0.375,18
16,999543.25,43.475,119.97,281.525,9.425,1.895,0.46,18
17,999495.39,43.94,133.18,314.6,10.295,2.045,0.55,18
18,999441.4,49.82,143.105,351.675,11.06,2.33,0.61,18
19,999383.835,49.09,160.09,391.595,12.11,2.57,0.71,18
20,999319.405,59.61,168.36,435.87,13.31,2.62,0.825,18
21,999252.135,65.73,181.41,482.515,14.335,2.935,0.94,18
22,999179.12,77.365,190.82,532.875,15.55,3.17,1.1,18
23,999102.73,82.3,207.355,586.005,16.925,3.42,1.265,18
24,999020.58,93.17,219.66,643.245,18.315,3.6,1.43,18
25,998932.305,92.04,246.455,703.925,19.615,4.09,1.57,18
26,998832.625,103.71,264.145,772.23,21.165,4.405,1.72,18
27,998728.05,114.255,282.53,845.795,22.695,4.735,1.94,18
28,998613.355,129.06,300.735,925.285,24.255,5.045,2.265,18
29,998492.76,138.44,325.385,1009.2,26.145,5.565,2.505,18
30,998362.885,143.67,357.53,1099.01,28.2,5.925,2.78,18
31,998220.645,149.41,392.145,1197.455,30.91,6.31,3.125,18
32,998062.37,179.4,408.54,1306.205,33.06,6.945,3.48,18
33,997900.02,176.27,456.97,1419.655,35.63,7.64,3.815,18
34,997717.02,205.71,479.635,1546.65,38.565,8.225,4.195,18
35,997522.935,227.045,515.27,1679.985,41.47,8.7,4.595,18
36,997317.445,229.865,571.595,1821.78,44.975,9.325,5.015,18
37,997088.56,255.01,612.41,1979.34,49.135,10.035,5.51,18
38,996845.29,268.2,667.985,2148.695,52.88,10.955,5.995,18
39,996576.11,298.24,715.335,2334.61,57.385,11.765,6.555,18
40,996288.375,326.98,770.65,2532.285,61.65,12.94,7.12,18
41,995980.13,346.485,838.01,2747.4,66.085,14.135,7.755,18
42,995646.41,359.41,918.685,2980.205,71.645,15.23,8.415,18
43,995277.415,416.3,969.215,3233.82,77.645,16.36,9.245,18
44,994887.56,433.455,1064.685,3502.805,83.92,17.445,10.13,18
45,994462.67,467.125,1148.71,3800.65,91.085,18.675,11.085,18
46,994001.315,506.935,1240.195,4120.775,98.65,20.135,11.995,18
47,993505.955,536.835,1350.995,4464.575,106.48,22.18,12.98,18
48,992970.39,591.28,1446.71,4838.03,115.42,24.175,13.995,18
49,992393.87,631.555,1569.485,5239.27,124.295,26.315,15.21,18
50,991766.83,682.43,1695.66,5675.48,134.11,28.945,16.545,18
51,991093.885,720.46,1845.625,6146.08,144.785,31.315,17.85,18
52,990360.24,782.185,1991.545,6655.93,156.875,33.82,19.405,18
53,989565.815,859.77,2137.055,7210.26,169.66,36.325,21.115,18
54,988713.97,958.125,2281.175,7801.3,183.19,39.32,22.92,18
55,987811.035,998.945,2493.07,8432.22,197.625,42.295,24.81,18
56,986823.43,1091.15,2676.135,9122.74,214.12,45.545,26.88,18
57,985760.93,1162.495,2900.765,9867.285,230.135,49.33,29.06,18
58,984613.44,1258.465,3119.72,10675.205,247.85,53.765,31.555,18
59,983378.335,1347.515,3370.89,11542.955,267.975,58.175,34.155,18
60,982047.965,1469.35,3616.89,12478.19,287.67,63.0,36.935,18
61,980625.01,1577.82,3897.74,13480.185,311.54,67.635,40.07,18
62,979093.085,1675.97,4219.45,14560.73,334.45,73.02,43.295,18
63,977431.16,1813.95,4535.435,15732.37,362.275,77.925,46.885,18
