Date,S,E,I,R,H,C,D,index
0,999953.0,8.0,38.0,0.0,1.0,0.0,0.0,6
1,999937.745,16.47,33.975,10.285,1.465,0.06,0.0,6
2,999924.075,16.485,37.86,19.55,1.875,0.155,0.0,6
3,999908.585,17.895,40.75,30.315,2.19,0.265,0.0,6
4,999891.815,20.4,43.245,41.565,2.715,0.255,0.005,6
5,999874.79,21.915,46.5,53.345,3.14,0.295,0.015,6
6,999856.225,24.955,49.1,65.835,3.475,0.37,0.04,6
7,999836.525,22.395,57.35,79.305,3.91,0.465,0.05,6
8,999813.385,25.45,61.21,94.98,4.36,0.535,0.08,6
9,999789.625,27.475,65.64,111.79,4.685,0.67,0.115,6
10,999763.385,22.565,78.645,129.305,5.155,0.795,0.15,6
11,999731.54,29.41,80.93,151.17,5.84,0.925,0.185,6
12,999698.935,32.125,87.965,173.145,6.57,1.02,0.24,6
13,999663.515,34.65,95.63,197.535,7.2,1.165,0.305,6
14,999624.92,33.105,107.83,224.49,7.93,1.38,0.345,6
15,999581.95,37.02,115.99,254.275,8.815,1.525,0.425,6
16,999534.97,45.565,121.59,286.03,9.645,1.705,0.495,6
17,999485.59,46.79,135.075,319.71,10.39,1.87,0.575,6
18,999431.705,51.265,145.46,357.485,11.395,1.975,0.715,6
19,999373.525,50.5,163.15,397.485,12.25,2.235,0.855,6
20,999307.57,62.1,171.02,442.5,13.305,2.525,0.98,6
21,999239.47,67.545,184.16,490.31,14.655,2.77,1.09,6
22,999164.795,79.8,193.87,541.475,15.785,3.09,1.185,6
23,999087.955,84.325,210.455,595.54,16.96,3.46,1.305,6
24,999002.34,97.16,222.945,653.955,18.36,3.7,1.54,6
25,998912.45,96.08,249.13,716.98,19.69,4.0,1.67,6
26,998813.5,104.935,268.175,785.76,21.345,4.415,1.87,6
27,998705.35,118.32,286.08,860.23,23.105,4.795,2.12,6
28,998590.595,130.76,305.565,940.435,25.075,5.205,2.365,6
