Date,S,E,I,R,H,C,D,index
0,999953.0,8.0,38.0,0.0,1.0,0.0,0.0,67
1,999937.865,16.44,34.015,10.185,1.465,0.03,0.0,67
2,999923.975,16.705,38.015,19.42,1.8,0.085,0.0,67
3,999909.395,16.885,41.325,30.04,2.155,0.19,0.01,67
4,999892.455,20.32,43.175,41.28,2.48,0.27,0.02,67
5,999875.655,21.695,46.04,53.38,2.825,0.375,0.03,67
6,999857.44,24.245,48.52,66.03,3.255,0.465,0.045,67
7,999837.905,21.695,56.82,79.31,3.595,0.595,0.08,67
8,999815.05,24.685,60.43,95.0,4.02,0.68,0.135,67
9,999790.765,27.795,64.525,111.555,4.39,0.82,0.15,67
10,999764.575,22.55,77.42,129.47,4.94,0.87,0.175,67
11,999732.635,29.71,79.605,151.255,5.625,0.95,0.22,67
12,999700.705,31.72,86.705,173.405,6.16,1.05,0.255,67
13,999665.165,34.545,95.085,197.08,6.68,1.115,0.33,67
14,999626.8,32.71,108.125,223.29,7.475,1.21,0.39,67
15,999583.56,36.735,116.265,253.325,8.225,1.435,0.455,67
16,999536.63,45.18,121.765,285.235,9.07,1.615,0.505,67
17,999488.155,45.6,135.625,318.25,10.005,1.79,0.575,67
18,999433.395,51.36,145.7,355.84,11.015,2.02,0.67,67
19,999375.385,50.215,163.165,396.22,11.995,2.25,0.77,67
20,999309.41,62.095,170.01,442.19,12.935,2.455,0.905,67
21,999241.655,67.285,183.825,489.37,14.05,2.785,1.03,67
22,999167.735,78.9,193.515,540.605,14.975,3.115,1.155,67
23,999090.5,83.92,210.78,594.21,15.9,3.4,1.29,67
24,999006.655,95.32,222.41,653.105,17.425,3.615,1.47,67
25,998917.53,94.115,249.89,714.155,18.74,3.89,1.68,67
26,998817.725,104.59,267.87,783.165,20.55,4.17,1.93,67
27,998710.29,117.305,285.705,857.885,22.15,4.49,2.175,67
28,998594.825,131.385,305.59,937.015,23.945,4.78,2.46,67
29,998471.54,142.325,330.5,1021.78,25.85,5.305,2.7,67
30,998338.985,147.67,363.51,1113.06,28.075,5.78,2.92,67
31,998193.52,154.425,399.175,1212.695,30.67,6.335,3.18,67
32,998034.585,182.365,415.44,1323.775,33.3,7.075,3.46,67
33,997866.565,183.8,462.86,1439.52,35.79,7.69,3.775,67
34,997681.05,211.76,488.775,1567.52,38.625,8.085,4.185,67
35,997486.31,229.765,524.815,1703.83,41.895,8.835,4.55,67
36,997275.785,235.96,579.505,1849.51,44.7,9.53,5.01,67
37,997043.89,260.895,621.57,2009.525,48.25,10.305,5.565,67
38,996795.36,275.58,676.52,2183.25,52.07,11.085,6.135,67
39,996525.87,301.825,727.235,2369.825,56.505,12.075,6.665,67
40,996235.05,332.125,781.245,2569.875,61.36,13.13,7.215,67
41,995921.705,354.535,848.165,2787.22,66.32,14.27,7.785,67
42,995583.155,366.98,930.74,3023.345,71.89,15.415,8.475,67
43,995210.015,424.2,980.975,3280.89,78.195,16.575,9.15,67
44,994817.865,439.98,1075.905,3553.74,84.37,18.24,9.9,67
45,994387.57,476.065,1164.85,3849.805,91.24,19.645,10.825,67
46,993923.915,514.135,1259.21,4170.97,98.75,21.21,11.81,67
47,993423.705,547.785,1366.24,4519.82,106.715,22.975,12.76,67
48,992876.865,608.055,1462.34,4898.355,115.535,25.04,13.81,67
49,992293.865,645.145,1591.245,5302.975,124.825,26.93,15.015,67
50,991661.21,694.335,1719.325,5744.895,134.71,29.07,16.455,67
51,990975.975,739.27,1870.35,6218.905,146.48,31.25,17.77,67
52,990230.1,802.41,2017.23,6739.015,157.88,34.055,19.31,67
53,989431.34,874.715,2167.325,7298.325,170.87,36.455,20.97,67
54,988566.46,978.68,2307.505,7899.77,185.485,39.415,22.685,67
55,987651.735,1018.91,2520.245,8541.635,200.34,42.63,24.505,67
56,986647.425,1117.855,2705.855,9240.03,215.665,46.61,26.56,67
57,985573.415,1186.185,2938.1,9990.01,232.945,50.455,28.89,67
58,984413.465,1282.725,3161.62,10804.855,252.055,53.89,31.39,67
59,983162.93,1374.5,3417.995,11679.97,271.8,58.87,33.935,67
60,981809.9,1502.73,3663.7,12629.745,293.845,63.255,36.825,67
61,980362.625,1617.9,3948.98,13645.55,316.455,68.505,39.985,67
62,978808.59,1714.955,4277.08,14741.66,339.86,74.595,43.26,67
63,977121.92,1859.705,4597.41,15928.525,365.4,80.17,46.87,67
64,975319.765,2025.885,4920.52,17202.165,394.275,86.61,50.78,67
65,973392.025,2151.135,5315.635,18568.66,424.81,92.715,55.02,67
66,971311.05,2324.565,5706.64,20042.055,456.615,99.41,59.665,67
67,969088.22,2474.935,6150.765,21624.34,490.17,107.39,64.18,67
68,966697.57,2665.185,6592.625,23329.7,529.14,116.22,69.56,67
69,964136.22,2884.41,7052.14,25156.76,569.485,125.645,75.34,67
70,961407.585,3080.965,7567.0,27114.85,613.86,134.32,81.42,67
71,958487.425,3384.42,8020.925,29214.285,659.36,145.535,88.05,67
72,955400.635,3597.295,8599.275,31444.42,706.96,156.47,94.945,67
73,954740.15,1204.18,9191.82,33834.085,759.07,168.39,102.305,67
74,954035.86,884.49,7590.215,36382.735,815.4,180.77,110.53,67
75,953453.525,716.01,6170.23,38507.455,838.75,194.84,119.19,67
76,952978.87,581.545,5015.405,40247.135,841.3,207.23,128.515,67
77,952594.67,472.19,4076.025,41673.645,827.75,216.775,138.945,67
78,952283.635,381.52,3310.31,42847.01,802.215,225.975,149.335,67
79,952030.17,310.85,2685.835,43812.215,768.385,232.15,160.395,67
80,951825.655,250.705,2183.365,44603.825,729.655,235.39,171.405,67
81,951658.675,205.265,1768.935,45261.0,687.485,235.68,182.96,67
82,951524.4,165.395,1436.575,45801.685,643.295,233.88,194.77,67
83,951413.335,135.725,1166.615,46248.68,598.39,230.95,206.305,67
84,951323.96,110.06,947.145,46621.005,554.625,225.095,218.11,67
85,951251.69,88.76,769.975,46929.73,512.985,217.76,229.1,67
86,951192.225,72.94,626.0,47186.58,471.875,210.975,239.405,67
87,951144.27,58.72,508.61,47403.87,432.635,202.225,249.67,67
88,951105.025,47.835,413.695,47584.6,396.22,193.115,259.51,67
89,951073.415,38.635,336.835,47736.605,362.59,182.98,268.94,67
90,951047.24,32.08,273.325,47865.445,331.125,172.945,277.84,67
91,951026.605,25.51,222.135,47975.27,301.83,162.41,286.24,67
92,951009.035,21.43,180.47,48067.695,274.275,153.1,293.995,67
93,950983.755,28.46,146.4,48147.59,249.17,143.47,301.155,67
94,950963.725,24.3,128.235,48215.105,226.27,134.065,308.3,67
95,950945.79,21.61,112.26,48275.76,205.455,124.565,314.56,67
96,950929.855,19.12,98.295,48330.495,186.24,115.125,320.87,67
97,950916.195,16.575,86.21,48379.265,168.565,106.6,326.59,67
98,950904.435,14.265,75.235,48422.74,152.665,98.725,331.935,67
99,950893.77,12.935,66.09,48460.37,138.655,91.41,336.77,67
100,950884.55,11.03,58.18,48495.19,125.735,83.99,341.325,67
101,950876.57,9.545,50.66,48526.545,114.305,76.92,345.455,67
102,950869.35,8.615,44.345,48553.83,103.575,71.115,349.17,67
103,950852.19,18.435,39.115,48578.525,93.67,65.595,352.47,67
104,950836.835,18.225,44.1,48600.07,85.05,60.145,355.575,67
105,950820.06,19.38,46.815,48623.015,77.11,55.04,358.58,67
106,950802.06,20.805,50.045,48645.835,69.905,50.025,361.325,67
107,950783.2,21.885,53.17,48668.185,63.925,45.745,363.89,67
108,950762.77,23.74,57.02,48690.235,58.26,41.84,366.135,67
109,950740.925,25.4,60.625,48713.175,53.25,38.41,368.215,67
110,950717.85,26.825,65.1,48736.38,48.69,35.09,370.065,67
111,950693.29,28.555,69.25,48760.36,44.86,31.865,371.82,67
112,950667.305,30.065,74.09,48784.59,41.275,29.235,373.44,67
113,950639.005,33.02,78.5,48809.405,38.19,26.97,374.91,67
114,950609.085,34.895,84.305,48835.415,35.58,24.545,376.175,67
115,950577.165,37.15,89.945,48862.755,33.005,22.755,377.225,67
116,950543.025,39.875,95.515,48891.315,31.145,20.725,378.4,67
117,950506.455,42.56,101.89,48921.38,29.345,18.935,379.435,67
118,950468.07,45.155,108.035,48953.02,27.91,17.495,380.315,67
119,950427.22,47.615,115.475,48985.625,26.745,16.265,381.055,67
120,950383.715,50.545,123.645,49019.32,25.79,15.17,381.815,67
121,950336.975,54.285,131.18,49056.06,24.84,14.095,382.565,67
122,950286.965,58.09,139.45,49095.03,23.97,13.165,383.33,67
123,950234.145,61.555,148.965,49135.3,23.595,12.445,383.995,67
124,950177.785,65.55,158.765,49177.95,23.625,11.75,384.575,67
125,950116.655,71.1,168.525,49223.755,23.65,11.155,385.16,67
126,950052.23,74.9,180.435,49272.285,23.815,10.57,385.765,67
127,949983.645,79.81,192.385,49323.45,24.23,10.18,386.3,67
