Date,S,E,I,R,H,C,D,index
0,999953.0,8.0,38.0,0.0,1.0,0.0,0.0,46
1,999937.83,16.345,34.14,10.155,1.48,0.05,0.0,46
2,999924.495,15.945,37.975,19.605,1.865,0.11,0.005,46
3,999909.42,17.06,40.995,30.2,2.1,0.215,0.01,46
4,999892.945,20.125,42.735,41.455,2.44,0.275,0.025,46
5,999875.9,21.66,46.375,52.725,2.935,0.375,0.03,46
6,999857.43,24.74,48.345,65.67,3.31,0.475,0.03,46
7,999838.04,21.89,56.81,78.995,3.63,0.59,0.045,46
8,999815.195,24.995,60.65,94.355,4.05,0.68,0.075,46
9,999790.63,28.155,64.845,110.985,4.455,0.83,0.1,46
10,999764.815,22.415,77.68,129.035,4.965,0.98,0.11,46
11,999733.395,28.885,80.705,150.215,5.475,1.185,0.14,46
12,999701.715,30.79,87.395,172.555,6.105,1.255,0.185,46
13,999666.325,33.77,94.485,197.065,6.745,1.365,0.245,46
14,999627.82,32.495,106.945,223.33,7.665,1.425,0.32,46
15,999584.81,36.43,115.995,252.375,8.365,1.66,0.365,46
16,999538.72,44.49,120.815,284.49,9.23,1.815,0.44,46
17,999490.165,45.295,134.44,317.545,9.96,2.07,0.525,46
18,999435.6,50.945,144.735,354.785,11.015,2.29,0.63,46
19,999377.515,50.255,162.17,394.94,11.825,2.54,0.755,46
20,999312.05,61.36,170.32,439.72,12.895,2.79,0.865,46
21,999243.035,68.175,183.995,487.02,13.73,3.05,0.995,46
22,999169.78,78.885,194.47,537.325,15.145,3.225,1.17,46
23,999091.185,85.765,210.525,591.07,16.65,3.51,1.295,46
24,999005.855,97.94,224.65,648.565,17.665,3.865,1.46,46
25,998915.86,95.5,253.995,709.835,19.01,4.2,1.6,46
26,998812.52,109.29,270.58,780.51,20.765,4.495,1.84,46
27,998704.73,120.485,289.815,855.575,22.545,4.835,2.015,46
28,998589.485,132.645,310.195,935.765,24.265,5.405,2.24,46
29,998465.725,143.83,332.865,1023.305,25.85,5.945,2.48,46
30,998332.415,149.515,364.88,1116.02,27.97,6.42,2.78,46
31,998185.605,156.87,400.425,1216.585,30.625,6.74,3.15,46
32,998023.175,186.935,417.965,1327.95,33.27,7.265,3.44,46
33,997856.645,184.42,467.98,1443.665,35.73,7.71,3.85,46
34,997667.195,216.36,491.78,1573.335,38.855,8.3,4.175,46
35,997470.175,234.805,529.71,1709.84,41.915,8.965,4.59,46
36,997257.735,241.24,583.94,1856.815,45.535,9.725,5.01,46
37,997023.21,266.305,626.29,2019.215,48.99,10.565,5.425,46
38,996771.79,281.895,684.04,2192.275,52.735,11.295,5.97,46
39,996499.715,307.515,735.795,2381.48,56.825,12.21,6.46,46
40,996204.875,338.43,787.53,2587.23,61.555,13.345,7.035,46
41,995888.605,360.975,855.83,2805.725,66.675,14.535,7.655,46
42,995544.665,376.205,940.555,3042.215,72.29,15.72,8.35,46
43,995168.235,431.635,992.315,3303.32,78.38,16.94,9.175,46
44,994772.205,447.02,1090.32,3577.705,84.585,18.11,10.055,46
45,994335.99,485.645,1176.29,3880.045,91.485,19.615,10.93,46
46,993863.555,527.38,1269.89,4206.83,99.395,20.92,12.03,46
47,993359.34,556.315,1380.95,4559.68,107.67,23.015,13.03,46
48,992808.64,616.26,1477.15,4942.355,116.35,25.11,14.135,46
49,992218.27,656.32,1606.595,5350.2,126.15,27.21,15.255,46
50,991579.06,707.495,1735.12,5795.855,136.41,29.43,16.63,46
51,990890.165,748.28,1883.25,6280.73,147.475,31.775,18.325,46
52,990141.36,809.4,2033.53,6801.76,159.845,34.345,19.76,46
53,989330.37,889.315,2182.51,7365.65,173.565,36.955,21.635,46
54,988462.535,989.125,2324.765,7973.085,187.11,39.925,23.455,46
55,987540.47,1033.615,2537.77,8618.66,201.17,42.775,25.54,46
56,986535.77,1124.415,2727.94,9320.915,217.285,46.04,27.635,46
57,985455.98,1197.66,2954.57,10077.365,234.725,49.665,30.035,46
58,984286.275,1298.785,3177.41,10897.945,253.02,54.05,32.515,46
59,983032.345,1386.075,3434.045,11780.105,273.56,58.68,35.19,46
60,981677.53,1513.355,3683.915,12728.235,295.495,63.5,37.97,46
61,980227.14,1626.82,3963.32,13755.255,318.04,68.235,41.19,46
62,978667.85,1725.275,4291.405,14853.61,343.78,73.47,44.61,46
63,976973.1,1872.945,4609.5,16046.5,370.45,79.19,48.315,46
64,975165.24,2042.44,4926.965,17326.41,400.8,85.845,52.3,46
65,973240.09,2157.29,5325.95,18696.005,431.24,92.845,56.58,46
66,971160.825,2328.955,5709.97,20172.92,466.195,100.305,60.83,46
67,968937.755,2480.805,6153.16,21753.325,500.91,108.205,65.84,46
68,966539.595,2675.95,6599.745,23458.745,537.785,117.02,71.16,46
69,963976.19,2890.605,7063.495,25288.2,578.37,126.125,77.015,46
70,961247.29,3079.665,7583.91,27249.07,620.795,136.25,83.02,46
