Date,S,E,I,R,H,C,D,index
0,999953.0,8.0,38.0,0.0,1.0,0.0,0.0,20
1,999937.995,16.27,34.17,10.095,1.43,0.04,0.0,20
2,999924.385,16.215,37.945,19.535,1.82,0.1,0.0,20
3,999909.32,17.195,41.04,30.1,2.125,0.22,0.0,20
4,999892.895,19.785,43.545,40.985,2.465,0.32,0.005,20
5,999875.255,22.14,46.11,53.285,2.795,0.365,0.05,20
6,999856.545,25.305,48.365,66.065,3.2,0.45,0.07,20
7,999836.995,22.51,56.665,79.59,3.64,0.49,0.11,20
8,999814.515,24.955,60.355,95.34,4.12,0.585,0.13,20
9,999790.595,27.35,65.09,111.465,4.615,0.735,0.15,20
10,999764.01,22.57,77.465,129.84,5.03,0.9,0.185,20
11,999732.82,28.73,80.11,151.465,5.655,0.985,0.235,20
12,999700.675,31.205,87.225,173.27,6.26,1.08,0.285,20
13,999665.24,34.11,94.255,197.885,7.03,1.16,0.32,20
14,999626.795,32.43,107.91,223.305,7.805,1.39,0.365,20
15,999583.39,36.82,116.04,253.06,8.83,1.415,0.445,20
16,999537.555,44.09,121.165,285.27,9.72,1.715,0.485,20
17,999489.405,44.445,133.95,319.035,10.615,1.965,0.585,20
18,999435.475,49.765,144.06,356.45,11.425,2.115,0.71,20
19,999377.15,49.65,160.785,396.755,12.485,2.36,0.815,20
20,999313.5,59.08,169.125,441.445,13.325,2.59,0.935,20
21,999246.61,64.465,181.955,488.52,14.665,2.75,1.035,20
22,999172.79,77.16,190.8,538.95,15.98,3.18,1.14,20
23,999096.33,82.085,207.64,591.93,17.075,3.67,1.27,20
24,999013.145,93.605,219.87,649.625,18.315,3.965,1.475,20
25,998924.32,92.49,246.825,710.82,19.575,4.33,1.64,20
26,998825.66,102.37,265.83,778.385,21.175,4.695,1.885,20
27,998718.135,115.945,283.435,852.335,22.85,5.22,2.08,20
28,998604.805,128.43,303.785,930.655,24.305,5.68,2.34,20
29,998482.765,139.08,328.585,1014.955,26.03,5.975,2.61,20
30,998351.52,143.93,360.915,1106.61,27.63,6.495,2.9,20
31,998207.65,150.655,394.46,1207.025,30.18,6.8,3.23,20
32,998048.03,181.255,410.42,1316.83,32.65,7.22,3.595,20
33,997881.54,181.35,459.565,1430.505,35.285,7.855,3.9,20
34,997697.805,208.59,485.0,1557.37,38.465,8.52,4.25,20
35,997500.65,231.185,520.7,1691.855,41.705,9.205,4.7,20
36,997292.305,234.67,576.2,1836.88,44.91,9.885,5.15,20
37,997061.695,259.3,618.7,1995.53,48.35,10.77,5.655,20
38,996814.155,274.2,674.665,2167.025,52.09,11.715,6.15,20
39,996544.735,301.21,724.195,2354.48,56.26,12.385,6.735,20
40,996255.025,329.78,777.585,2555.965,61.07,13.24,7.335,20
41,995944.505,350.945,844.355,2771.59,66.415,14.2,7.99,20
42,995604.35,368.2,923.595,3008.1,72.12,14.96,8.675,20
43,995238.535,416.84,976.555,3264.545,77.935,16.09,9.5,20
44,994848.995,433.29,1069.03,3536.52,84.355,17.4,10.41,20
45,994421.96,469.615,1153.515,3833.965,90.595,19.07,11.28,20
46,993960.83,508.2,1247.42,4152.25,98.16,20.95,12.19,20
47,993462.13,541.365,1355.19,4498.73,106.445,22.92,13.22,20
48,992921.935,597.9,1451.58,4874.51,114.9,24.765,14.41,20
49,992343.06,635.84,1578.265,5276.27,123.915,27.065,15.585,20
50,991716.015,684.405,1701.705,5717.7,134.12,29.205,16.85,20
51,991037.09,727.175,1850.605,6190.335,145.175,31.225,18.395,20
52,990301.155,786.0,1999.26,6703.165,156.895,33.475,20.05,20
53,989508.035,860.08,2146.29,7257.745,169.775,36.485,21.59,20
54,988652.425,961.675,2286.655,7853.66,183.0,39.36,23.225,20
55,987744.325,1005.505,2494.88,8490.405,197.27,42.425,25.19,20
56,986752.175,1098.075,2682.28,9181.66,213.26,45.435,27.115,20
57,985687.16,1168.175,2911.0,9924.41,230.65,49.36,29.245,20
58,984531.725,1270.095,3132.49,10731.91,248.84,53.175,31.765,20
59,983292.725,1356.385,3387.41,11602.41,268.99,57.855,34.225,20
60,981953.12,1480.035,3636.545,12539.85,291.755,61.99,36.705,20
61,980524.345,1585.675,3922.665,13546.775,313.955,66.775,39.81,20
62,978976.195,1691.875,4243.355,14634.375,338.65,72.36,43.19,20
63,977307.965,1825.935,4563.155,15812.33,365.67,78.02,46.925,20
64,975521.56,1996.135,4873.44,17077.845,395.09,85.145,50.785,20
65,973617.115,2112.515,5268.86,18429.62,424.945,92.155,54.79,20
66,971562.675,2279.845,5649.95,19892.375,456.02,100.085,59.05,20
67,969357.175,2439.1,6080.975,21459.905,491.58,107.385,63.88,20
68,966989.84,2624.685,6518.465,23152.195,529.285,116.545,68.985,20
69,964457.975,2831.97,6976.935,24964.39,569.19,124.82,74.72,20
70,961752.955,3027.585,7488.195,26904.53,611.28,134.71,80.745,20
71,958862.48,3347.265,7922.68,28978.995,656.81,144.265,87.505,20
72,955814.2,3555.11,8492.1,31184.785,704.105,155.325,94.375,20
73,955600.395,751.26,9082.105,33541.895,755.115,167.325,101.905,20
74,955373.985,339.925,7125.03,36061.06,810.355,179.21,110.435,20
75,955196.775,228.325,5381.02,38050.76,830.765,193.5,118.855,20
76,955062.385,168.51,4036.49,39574.77,823.975,205.595,128.275,20
77,954961.94,125.735,3028.865,40730.45,798.425,216.615,137.97,20
78,954887.485,93.825,2270.755,41615.23,761.215,223.185,148.305,20
79,954830.3,71.24,1699.975,42295.285,716.73,227.365,159.105,20
80,954787.975,52.785,1273.79,42817.645,669.175,228.06,170.57,20
81,954756.815,39.005,953.93,43221.435,620.945,225.98,181.89,20
82,954732.615,30.105,713.275,43535.93,571.83,223.655,192.59,20
83,954714.795,22.23,534.96,43782.02,524.71,217.485,203.8,20
84,954701.91,16.285,401.05,43976.325,479.435,210.43,214.565,20
85,954692.04,12.515,299.055,44133.04,436.185,202.395,224.77,20
86,954684.51,9.26,224.715,44257.075,396.535,193.065,234.84,20
87,954679.17,6.675,167.755,44358.57,360.14,183.37,244.32,20
88,954674.72,5.495,125.64,44441.575,325.97,173.395,253.205,20
89,954671.53,4.115,95.21,44509.125,294.58,163.97,261.47,20
90,954669.145,3.07,71.19,44567.065,266.185,153.79,269.555,20
91,954667.37,2.245,54.065,44615.51,239.965,143.955,276.89,20
92,954665.835,1.82,40.725,44657.01,216.49,133.96,284.16,20
93,954664.865,1.21,30.79,44692.695,195.105,124.525,290.81,20
94,954664.065,0.97,23.125,44724.415,175.17,115.42,296.835,20
95,954663.535,0.71,17.34,44751.405,157.93,106.53,302.55,20
96,954663.015,0.63,12.895,44775.39,142.3,97.98,307.79,20
97,954662.7,0.39,9.745,44795.99,128.39,90.295,312.49,20
98,954662.435,0.345,7.27,44814.36,115.76,82.98,316.85,20
99,954662.24,0.245,5.51,44831.02,104.1,75.985,320.9,20
100,954662.115,0.17,4.225,44845.975,93.61,69.41,324.495,20
101,954662.005,0.125,3.18,44858.97,84.265,63.68,327.775,20
102,954661.935,0.09,2.395,44870.915,75.85,57.965,330.85,20
103,954661.885,0.05,1.815,44881.655,68.285,52.475,333.835,20
104,954661.82,0.08,1.4,44890.935,61.665,47.64,336.46,20
105,954661.78,0.07,1.065,44899.5,55.385,43.48,338.72,20
106,954661.76,0.03,0.805,44907.155,49.99,39.24,341.02,20
