Date,S,E,I,R,H,C,D,index
0,999953.0,8.0,38.0,0.0,1.0,0.0,0.0,87
1,999937.53,16.68,34.095,10.265,1.405,0.025,0.0,87
2,999923.605,16.835,37.95,19.81,1.71,0.09,0.0,87
3,999908.185,17.715,41.625,30.34,2.0,0.13,0.005,87
4,999891.12,20.6,44.33,41.35,2.34,0.245,0.015,87
5,999873.35,22.715,47.22,53.625,2.76,0.305,0.025,87
6,999854.035,26.105,49.76,66.57,3.085,0.405,0.04,87
7,999833.71,23.66,58.48,80.075,3.535,0.475,0.065,87
8,999810.42,26.29,62.465,96.105,4.06,0.575,0.085,87
9,999785.14,29.405,66.8,113.255,4.565,0.745,0.09,87
10,999758.43,24.045,79.49,131.895,5.1,0.895,0.145,87
11,999726.785,30.065,82.095,154.13,5.745,1.02,0.16,87
12,999693.835,32.865,88.75,176.855,6.32,1.145,0.23,87
13,999657.955,35.47,96.43,201.555,7.025,1.265,0.3,87
14,999618.35,34.59,109.125,228.4,7.7,1.465,0.37,87
15,999574.87,38.23,117.44,258.875,8.44,1.7,0.445,87
16,999527.305,46.92,122.34,291.84,9.125,1.97,0.5,87
17,999478.26,46.96,136.4,325.645,9.99,2.12,0.625,87
18,999423.965,51.83,146.435,363.9,10.89,2.25,0.73,87
19,999364.855,51.925,163.575,404.4,11.94,2.49,0.815,87
20,999298.97,62.93,171.105,450.3,13.04,2.72,0.935,87
21,999229.155,69.81,185.88,496.965,14.125,3.01,1.055,87
22,999155.08,80.33,196.5,548.38,15.27,3.2,1.24,87
23,999076.385,86.08,213.95,602.55,16.155,3.47,1.41,87
24,998989.58,99.45,225.835,661.945,17.81,3.77,1.61,87
25,998899.7,96.69,253.875,724.58,19.205,4.175,1.775,87
26,998797.95,107.675,272.015,795.08,20.69,4.59,2.0,87
27,998690.645,118.685,290.225,870.7,22.44,5.13,2.175,87
28,998574.78,132.16,309.38,951.25,24.465,5.535,2.43,87
29,998450.905,143.005,334.165,1037.11,26.165,5.91,2.74,87
30,998317.17,148.735,366.855,1129.225,28.755,6.21,3.05,87
31,998170.785,156.1,400.885,1231.225,30.855,6.895,3.255,87
32,998010.37,184.605,417.185,1343.335,33.45,7.425,3.63,87
33,997843.11,183.31,466.87,1458.415,36.28,7.97,4.045,87
34,997655.57,212.87,490.69,1588.145,39.655,8.65,4.42,87
35,997459.06,232.075,527.755,1724.08,42.845,9.375,4.81,87
36,997248.56,237.325,583.45,1869.195,45.885,10.265,5.32,87
37,997015.04,262.46,623.895,2032.31,49.37,11.15,5.775,87
38,996764.11,279.4,681.385,2203.685,53.06,12.035,6.325,87
39,996490.99,307.025,731.885,2393.525,56.705,13.075,6.795,87
40,996198.405,335.885,786.82,2596.225,61.365,13.85,7.45,87
