;score;beta_final;sigma_final;gamma_final;hp_final;hcr_final;pc_final;pd_final;pcr_final;s_final;t_final;beta_init;sigma_init;gamma_init;hp_init;hcr_init;pc_init;pd_init;pcr_init;s_init;t_init;w1;w2;w3;w4;w5;vw1;vw2;vw3;vw4;vw5;smoothing;optimizer;step_sizee;I_0
3676;891.693775825279;0.5243153793782531;0.2503268929263089;0.2462752798011033;0.01990141066351315;0.21789936158390916;0.06916014882629963;0.0436274976632879;0.30050687649250346;0.7025545132918558;0.5549481966402809;0.3181857005467863;0.7294361471440431;0.2377912106524911;0.018448246711093658;0.2977147903391861;0.3769998342385867;0.025655281516803102;0.3423503469106306;0.7393769064077593;0.5954374836516386;1;1;1;1;1;3.066596940061081;3.306454097703013;2.967394037145065;2.260618301950528;2.9866927529428913;False;LBFGSB;None;1.855287569573284
3703;891.921290866061;0.6262706435619502;0.2;0.25;0.061032915244672976;0.4;0.07514844967436309;0.05617083480843447;0.4;0.7512190310365241;1.0;0.6164277480660219;0.2090063665323709;0.13065882667112586;0.436607848978803;0.05969853286439215;0.2055227810263725;0.04607407726155615;0.2759247087860266;0.8109664258683036;0.6601338627310166;1;1;1;1;1;3.743105231064614;1.9907840496838276;1.7399600132599593;3.5278007804160936;3.0628224565886333;False;LBFGSB;None;1.855287569573284
3845;892.9407243525487;0.5645836626181181;0.20903493753333305;0.2336768907290814;0.038481347697792635;0.24821313551518906;0.06613698679826183;0.052576029914321136;0.38131778734280575;0.7877623856790791;0.9200765918641396;0.27240908817585074;0.9576941119772552;0.20631914987455732;0.1966611173188303;0.07385088795381586;0.09557053758939872;0.014997852891405646;0.27855674438965217;0.793234651510989;0.6850189534601914;1;1;1;1;1;3.5410080184241415;2.552099251411462;3.4350457878880856;1.6597239323100903;3.499583457069785;False;LBFGSB;None;1.855287569573284
4016;894.244406973834;0.5106240097446136;0.2446327830702185;0.24240262100379786;0.01137412270693192;0.06063573479702543;0.06230046703196996;0.056152474072940765;0.3348985971845299;0.7034170393775245;0.5410264044267649;0.19940271471741866;0.7618639047604823;0.1256596044648117;0.029332883205006287;0.048009959482828594;0.3931772620980757;0.01152353821816793;0.2887747873311329;0.7630956955821381;0.5987079099063282;1;1;1;1;1;2.7185055605320336;3.4266633203242263;2.765003251832031;1.5351891369798865;2.5026610156583713;False;LBFGSB;None;1.855287569573284
