;score;beta_final;sigma_final;gamma_final;hp_final;hcr_final;pc_final;pd_final;pcr_final;s_final;t_final;beta_init;sigma_init;gamma_init;hp_init;hcr_init;pc_init;pd_init;pcr_init;s_init;t_init;w1;w2;w3;w4;w5;vw1;vw2;vw3;vw4;vw5;smoothing;optimizer;step_sizee;I_0
10;968.9997503132823;0.4485930464738699;0.468180863329277;0.23866030336237395;0.017642619298897003;0.0571976858220589;0.025982424227779414;0.2143334514574592;0.2576431758172636;0.7194872522141875;0.9825156851700292;0.2770638326925013;0.5050578579731861;0.12075723422251965;0.42784326456133337;0.07765885187025202;0.2694770611618375;0.0711460388039081;0.2308792201724941;0.7514477316392616;0.9540551016615176;1;1;1;1;1;3.9421491697090376;2.9647138554804178;1.6139867135538246;3.1464667256913565;1.1892400240080077;False;LBFGSB;None;1.855287569573284
11;970.7119350904088;0.5375447289373693;0.21223156831441084;0.23627311088786696;0.017979336184660667;0.08780965884292752;0.030745275443473486;0.2927518154456052;0.39966662059243796;0.7929266607871966;0.8950960567006008;0.4716079759751096;0.29118311155473164;0.2376865552548429;0.188928678783434;0.07766152971477082;0.1591218627252036;0.2829378819584693;0.37902025720425936;0.7720131353071373;0.8717338970872373;1;1;1;1;1;3.202491035096048;2.645507870086313;1.8596269776671772;1.074306796351444;1.6531762357438782;False;LBFGSB;None;1.855287569573284
12;971.5973916203619;0.5330779666159328;0.2220962581388776;0.2374444998025187;0.02278813812645266;0.1548815479402335;0.029426706770787882;0.20095522798252832;0.3441164111780249;0.7193042977623403;0.8475276905885478;0.197287988452584;0.7028297530986405;0.1600423611669334;0.3570539251072751;0.12320785386260677;0.1865598295225279;0.41753674058278223;0.3641249386356102;0.8460557133301515;0.9013050809689918;1;1;1;1;1;2.6006749030903933;1.9543156616210755;1.751387862745856;3.7281449339263055;1.1150074020807716;False;LBFGSB;None;1.855287569573284
13;974.6655030786236;0.480554428501644;0.2434143851130905;0.20834651740419075;0.021302537423840924;0.12828207984149415;0.025096817578138957;0.2716470624899512;0.1336651484311728;0.7674782270709726;0.9634217018515024;0.4445847346732607;0.7574225885497372;0.1748112090032803;0.10927725413831947;0.1709212374168595;0.09475987235435146;0.2352744742256242;0.09850168561323844;0.7795446942521439;0.9183529291576016;1;1;1;1;1;2.9427556899078535;3.255666992640416;1.3887500358963607;2.6886865336479695;3.558360353436882;False;LBFGSB;None;1.855287569573284
14;980.8035201240276;0.4948474570584314;0.2183025275165583;0.21075798711806315;0.019315344992329536;0.17332137331881287;0.05479190629999443;0.11710589585950636;0.3960403373770274;0.7330306751539152;0.6869018500120894;0.12965760184853048;0.4727251632688484;0.185871312843173;0.17346484674933108;0.3075096374784685;0.2467683342732826;0.1433209169046057;0.3914540911406582;0.7712980055103481;0.54719614221219;1;1;1;1;1;1.9010874295643467;2.9270434369478333;1.8940445366437344;1.0592475224033866;1.2647231169453423;False;LBFGSB;None;1.855287569573284
15;981.8682882678768;0.4888643864016987;0.21257140100643174;0.20349686684403145;0.016736448341342868;0.13851749140515066;0.08377264899108136;0.042072443245171946;0.39999932992329296;0.7575710190222733;0.6238074779538441;0.3192413775183546;0.9811411041997188;0.24805108602191775;0.0019104693571170112;0.10978365909950127;0.39883275297573545;0.07631050125010562;0.2641029792765967;0.837665939973023;0.5993994878319611;1;1;1;1;1;3.079461671828497;1.1665097576606334;1.7631095796556329;1.9081010136422865;1.0121178435162284;False;LBFGSB;None;1.855287569573284
16;982.6613904314728;0.4458362768864352;0.4640641977221314;0.2246119857005528;0.02683499862669881;0.1989336218276245;0.03557807524029548;0.10833656579146513;0.16407017910251478;0.781139356331763;0.814290671827092;0.3110830283089821;0.6468842851098573;0.2399188288702708;0.2369215793570669;0.2471953926434617;0.021082629830926302;0.055000248397279836;0.20969159080294186;0.8168335140224062;0.9172006066653812;1;1;1;1;1;3.1002201472755697;3.3237494483527428;1.6534748389957912;1.23165518335123;3.7847691576056697;False;LBFGSB;None;1.855287569573284
17;982.7615720627887;0.4931234268622977;0.23446993784965556;0.22594404326555806;0.011243123831739206;0.032097463514180406;0.012422093609156146;0.5;0.12296239974277445;0.7235274354837894;0.8722364792329275;0.27741644478633465;0.5070333013237671;0.1163685260357897;0.2558389639393785;0.09826678451481363;0.1880915028128438;0.4502944700238346;0.1166783249577967;0.7388914964535845;0.8584562777123073;1;1;1;1;1;2.397298040883535;3.973006584253815;3.9607395202609266;2.745991111807688;2.775779795586597;False;LBFGSB;None;1.855287569573284
18;985.8146132213593;0.5040231121408341;0.2560414866130643;0.2329771479250421;0.017985802983297636;0.18751245932198413;0.030997670803066063;0.10350789996180232;0.1626548250027705;0.7363325251469834;0.6608798064743241;0.3975688153710933;0.2464981821982369;0.2236064774655664;0.12220646369355848;0.2029232663423154;0.012066641240931996;0.11682633444303213;0.15470410791398378;0.7453364822304677;0.6669329921161851;1;1;1;1;1;2.3884257529983093;1.4719612729084766;2.401672933159888;2.9560585087789577;2.5026514710357537;False;LBFGSB;None;1.855287569573284
19;985.922098302532;0.38078537709261545;0.4349643530457814;0.18457393504746847;0.007594477716826437;0.027959162400659557;0.02280559784128401;0.03746471780348196;0.01;0.7886221019611328;0.5590280980437918;0.24435169046267585;0.6230054205902654;0.1910135248198604;0.03435041997817586;0.023851275223559548;0.09473591403425777;0.07138432249326625;0.15267636158894252;0.8181334528355649;0.6650589792173155;1;1;1;1;1;3.668095546916184;3.0657182640594978;1.3478741407063195;1.2978181450927748;1.0483820640203358;False;LBFGSB;None;1.855287569573284
20;986.4372836002198;0.4373226744021718;0.6419942947500594;0.23858929473548626;0.02469718328935858;0.1928557977115629;0.044430947594158235;0.1052313286917024;0.2986196317855391;0.766136634474501;0.6277309735072387;0.29684998002691343;0.7810947848943168;0.19125272730169385;0.024478807206948762;0.23514689950368636;0.01699997050756849;0.05372636796191885;0.37260038886939795;0.8121178513589586;0.6609687175897646;1;1;1;1;1;3.8799095190529815;3.5530784298376945;1.2635017952481729;2.202863507220966;2.2833706689163207;False;LBFGSB;None;1.855287569573284
