Date,S,E,I,R,H,C,D
0,999953.0,8.0,38.0,0.0,1.0,0.0,0.0
1,999937.755,16.52,33.725,10.455,1.48,0.065,0.0
2,999924.04,16.56,37.65,19.81,1.805,0.13,0.005
3,999909.08,17.24,40.69,30.575,2.24,0.155,0.02
4,999892.805,19.74,42.65,41.84,2.675,0.265,0.025
5,999875.75,21.33,46.125,53.27,3.17,0.33,0.025
6,999857.255,24.41,48.12,66.2,3.53,0.455,0.03
7,999838.15,21.665,56.195,79.505,3.885,0.555,0.045
8,999815.215,24.93,59.87,94.965,4.245,0.69,0.085
9,999791.335,27.22,64.825,110.96,4.705,0.84,0.115
10,999765.025,22.295,77.27,129.1,5.24,0.925,0.145
11,999734.26,28.16,80.04,150.665,5.68,1.01,0.185
12,999702.705,30.295,86.625,172.685,6.31,1.12,0.26
13,999667.355,33.345,94.085,196.55,7.14,1.23,0.295
14,999629.955,30.93,106.645,222.88,7.825,1.405,0.36
15,999587.785,34.83,114.625,252.22,8.555,1.565,0.42
16,999542.3,42.875,118.925,284.36,9.28,1.74,0.52
17,999494.08,44.07,131.92,317.32,10.04,1.975,0.595
18,999441.79,47.945,142.635,353.845,10.905,2.19,0.69
19,999383.95,48.125,159.195,393.655,11.975,2.315,0.785
20,999319.195,59.275,167.525,437.595,12.935,2.55,0.925
21,999251.815,65.405,181.045,484.03,13.83,2.805,1.07
22,999179.445,76.835,190.445,533.86,15.14,3.04,1.235
23,999102.415,83.06,207.435,586.13,16.215,3.395,1.35
24,999019.015,94.59,220.7,642.97,17.505,3.705,1.515
25,998929.38,93.83,247.295,704.68,18.91,4.195,1.71
26,998830.94,103.35,265.615,773.33,20.33,4.51,1.925
27,998724.925,115.145,283.615,847.3,22.06,4.845,2.11
28,998611.135,128.015,303.915,925.55,23.845,5.16,2.38
29,998489.08,139.785,327.675,1009.305,25.895,5.655,2.605
30,998357.035,146.23,359.275,1100.52,28.08,5.965,2.895
31,998212.285,152.895,394.625,1200.075,30.44,6.48,3.2
32,998054.47,180.935,411.325,1309.57,33.14,7.075,3.485
33,997890.965,178.445,458.89,1424.37,35.895,7.6,3.835
34,997706.555,208.56,482.245,1551.165,39.015,8.235,4.225
35,997515.835,224.715,518.585,1685.35,41.905,8.99,4.62
36,997309.105,229.3,571.855,1829.825,45.03,9.8,5.085
37,997079.15,255.39,611.775,1988.815,49.045,10.225,5.6
38,996833.1,270.435,668.325,2157.86,53.03,11.185,6.065
39,996567.425,295.425,717.66,2343.025,57.625,12.255,6.585
40,996279.655,325.005,769.765,2543.14,61.78,13.38,7.275
41,995971.335,346.885,836.84,2756.285,66.46,14.225,7.97
42,995635.755,360.99,917.32,2989.925,72.045,15.3,8.665
43,995269.215,414.595,968.44,3243.955,77.89,16.51,9.395
44,994881.01,430.82,1063.88,3512.47,83.555,18.075,10.19
45,994455.445,466.555,1149.115,3807.935,90.2,19.64,11.11
46,993996.22,505.16,1241.44,4126.405,97.455,21.285,12.035
47,993499.08,537.735,1351.84,4469.715,105.59,22.885,13.155
48,992958.38,597.425,1447.3,4842.695,115.185,24.78,14.235
49,992383.02,632.975,1573.195,5243.68,124.88,26.83,15.42
50,991752.87,685.65,1701.47,5679.0,135.07,29.25,16.69
51,991079.8,720.935,1853.12,6150.69,145.685,31.57,18.2
52,990343.775,783.93,1997.6,6663.665,157.16,34.21,19.66
53,989546.495,863.31,2145.71,7216.815,169.465,36.82,21.385
54,988694.185,960.995,2287.31,7811.465,183.08,39.785,23.18
55,987784.005,1007.1,2494.925,8448.48,197.505,42.855,25.13
56,986790.92,1098.715,2682.89,9140.735,213.02,46.55,27.17
57,985728.675,1165.39,2911.705,9884.165,230.37,50.155,29.54
58,984576.22,1266.07,3134.075,10688.66,249.46,53.765,31.75
59,983337.435,1355.53,3386.57,11558.035,270.325,57.645,34.46
60,981997.78,1481.17,3631.76,12497.88,292.06,62.21,37.14
61,980559.19,1599.38,3914.89,13504.775,314.02,67.645,40.1
62,979014.87,1697.51,4246.035,14587.05,338.16,73.09,43.285
63,977343.41,1835.61,4567.77,15762.77,364.595,78.95,46.895
64,975553.18,2004.875,4883.01,17029.61,393.055,85.6,50.67
65,973639.235,2128.51,5277.58,18384.26,423.165,92.405,54.845
66,971574.9,2298.705,5666.295,19843.735,457.59,99.575,59.2
67,969363.935,2453.235,6102.035,21417.42,492.3,107.1,63.975
68,966983.21,2646.905,6543.99,23110.505,530.965,115.45,68.975
69,964445.44,2851.145,7007.68,24925.29,571.69,124.21,74.545
70,961721.975,3058.825,7520.58,26869.51,613.765,134.65,80.695
71,958821.065,3362.43,7963.67,28960.885,658.875,145.53,87.545
72,955753.455,3574.055,8540.74,31173.715,706.465,156.91,94.66
73,955572.07,718.705,9136.57,33543.95,757.68,168.495,102.53
74,955376.99,303.35,7138.09,36077.795,811.34,181.64,110.795
75,955225.275,197.09,5357.415,38072.745,832.87,194.615,119.99
76,955111.525,142.915,4000.24,39586.095,823.65,206.225,129.35
77,955027.02,105.96,2980.82,40732.51,797.795,216.15,139.745
78,954963.46,79.485,2217.57,41605.865,759.64,223.67,150.31
79,954915.895,59.165,1650.425,42271.085,715.045,227.4,160.985
80,954880.585,44.065,1228.18,42780.325,667.065,227.785,171.995
81,954854.165,33.14,915.32,43171.35,616.625,226.185,183.215
82,954834.83,24.28,680.955,43475.085,567.94,223.29,193.62
83,954820.885,17.585,507.79,43711.765,520.55,216.725,204.7
84,954810.2,13.435,377.47,43899.295,474.76,209.915,214.925
85,954802.265,10.01,280.385,44048.75,431.875,201.49,225.225
86,954796.175,7.745,208.505,44168.185,392.095,192.165,235.13
87,954791.92,5.51,154.885,44265.755,354.495,183.125,244.31
88,954788.6,4.225,114.845,44344.34,321.195,173.43,253.365
89,954786.095,3.11,86.05,44410.1,289.705,163.215,261.725
90,954784.38,2.245,64.075,44464.785,261.8,153.21,269.505
91,954783.155,1.575,47.905,44511.435,236.66,142.425,276.845
92,954782.1,1.335,35.645,44551.24,213.365,132.595,283.72
93,954781.295,1.0,26.695,44585.67,192.205,122.78,290.355
94,954780.745,0.68,19.885,44615.68,173.14,113.59,296.28
95,954780.255,0.56,15.045,44641.41,156.235,104.72,301.775
