Date,S,E,I,R,H,C,D
0,999953.0,8.0,38.0,0.0,1.0,0.0,0.0
1,999937.745,16.41,34.23,10.17,1.405,0.04,0.0
2,999924.06,16.285,38.07,19.63,1.83,0.125,0.0
3,999908.52,17.61,41.675,29.79,2.225,0.175,0.005
4,999891.83,20.085,44.045,41.115,2.67,0.235,0.02
5,999874.2,22.365,47.035,53.015,3.04,0.325,0.02
6,999855.25,25.365,49.35,66.155,3.4,0.435,0.045
7,999835.455,22.53,57.995,79.625,3.81,0.52,0.065
8,999812.25,25.42,61.7,95.62,4.265,0.635,0.11
9,999787.385,28.7,65.315,113.0,4.76,0.685,0.155
10,999761.115,23.205,78.36,131.02,5.315,0.795,0.19
11,999729.745,29.485,81.455,152.33,5.875,0.875,0.235
12,999697.255,32.085,88.215,174.745,6.42,1.03,0.25
13,999661.385,34.72,96.47,199.055,6.875,1.19,0.305
14,999623.245,32.735,109.21,225.56,7.575,1.315,0.36
15,999579.54,37.275,117.285,255.65,8.46,1.35,0.44
16,999532.63,45.49,122.475,288.03,9.23,1.665,0.48
17,999483.475,46.66,135.565,322.02,9.815,1.905,0.56
18,999428.5,52.315,145.365,360.235,10.785,2.135,0.665
19,999370.085,51.095,163.66,400.565,11.53,2.275,0.79
20,999304.675,61.69,171.98,445.48,12.81,2.47,0.895
21,999235.735,68.335,184.75,493.345,14.055,2.755,1.025
22,999162.33,78.76,194.9,544.27,15.485,3.075,1.18
23,999083.11,85.935,210.95,598.44,16.835,3.385,1.345
24,998998.86,96.46,225.205,656.26,18.005,3.72,1.49
25,998909.175,94.8,252.065,718.75,19.475,4.065,1.67
26,998809.28,104.825,270.67,788.145,20.895,4.345,1.84
27,998700.895,118.735,288.05,862.78,22.695,4.78,2.065
28,998585.325,131.51,308.01,942.955,24.925,5.0,2.275
29,998461.05,142.685,333.975,1027.47,26.785,5.53,2.505
30,998326.635,149.82,366.185,1119.74,28.765,6.11,2.745
31,998178.075,158.425,401.4,1221.245,31.07,6.72,3.065
32,998015.8,186.995,421.19,1331.74,33.81,7.15,3.315
33,997846.845,186.59,469.52,1449.15,36.595,7.645,3.655
34,997659.24,215.315,494.635,1578.865,39.54,8.315,4.09
35,997459.48,236.945,529.91,1717.33,42.76,9.07,4.505
36,997246.38,242.3,586.945,1863.15,46.35,9.915,4.96
37,997010.435,268.2,627.55,2027.2,50.41,10.74,5.465
38,996761.36,279.825,686.465,2200.425,54.445,11.49,5.99
39,996487.715,307.28,737.27,2390.0,58.595,12.575,6.565
40,996190.28,340.47,790.635,2594.87,63.05,13.5,7.195
41,995875.21,359.54,859.825,2815.135,68.035,14.435,7.82
42,995531.225,374.45,943.07,3052.96,74.085,15.68,8.53
43,995154.695,430.99,994.115,3313.93,79.805,17.205,9.26
44,994757.31,447.805,1090.945,3588.535,86.73,18.635,10.04
45,994321.85,484.105,1176.915,3892.545,93.54,20.17,10.875
46,993853.34,521.61,1271.005,4219.015,101.66,21.64,11.73
47,993346.815,555.195,1381.88,4570.18,109.755,23.4,12.775
48,992795.21,615.365,1477.43,4953.86,118.805,25.455,13.875
49,992204.24,656.22,1603.82,5364.975,128.255,27.365,15.125
50,991567.5,702.225,1732.53,5813.545,138.24,29.505,16.455
51,990878.265,745.07,1886.58,6291.61,148.44,32.26,17.775
52,990125.375,811.805,2032.01,6816.485,160.215,34.555,19.555
53,989315.88,890.595,2182.435,7379.865,172.4,37.62,21.205
54,988445.93,989.355,2328.66,7986.18,186.075,40.77,23.03
55,987522.74,1032.825,2542.075,8633.235,200.715,43.505,24.905
56,986511.3,1129.0,2730.075,9338.145,218.03,46.495,26.955
57,985428.89,1198.81,2962.135,10094.895,236.12,50.015,29.135
58,984257.88,1298.99,3186.96,10915.795,254.38,54.305,31.69
59,982993.105,1394.86,3444.075,11801.02,273.995,58.475,34.47
60,981636.3,1516.565,3695.67,12754.555,296.18,63.205,37.525
61,980184.355,1627.0,3981.585,13778.96,318.995,68.72,40.385
62,978613.73,1732.68,4307.74,14883.32,344.205,74.505,43.82
63,976923.39,1866.67,4629.3,16081.825,371.825,79.755,47.235
64,975109.745,2037.625,4950.76,17363.075,401.305,86.24,51.25
65,973169.88,2163.41,5350.055,18736.765,431.21,93.455,55.225
66,971082.75,2333.415,5741.755,20216.58,465.44,100.285,59.775
67,968845.895,2489.93,6177.29,21812.775,501.025,108.2,64.885
