Date,S,E,I,R,H,C,D
86,954736.22,5.67,192.09,44245.195,391.45,191.77,237.605
87,954732.765,4.32,141.325,44338.585,354.235,182.23,246.54
88,954730.205,3.245,104.815,44413.405,320.945,171.9,255.485
89,954728.44,2.305,77.19,44476.065,290.455,161.565,263.98
90,954727.165,1.545,56.92,44528.735,262.095,151.53,272.01
91,954726.11,1.27,41.97,44572.895,236.72,141.6,279.435
92,954725.55,0.78,31.145,44610.59,213.99,131.375,286.57
93,954724.99,0.665,23.095,44643.695,192.645,122.015,292.895
94,954724.58,0.48,17.095,44672.28,173.57,112.965,299.03
95,954724.31,0.33,12.645,44697.435,156.535,104.355,304.39
96,954724.04,0.32,9.295,44720.52,140.525,95.925,309.375
97,954723.875,0.225,6.925,44740.045,126.825,88.13,313.975
98,954723.75,0.18,5.19,44758.0,113.785,81.11,317.985
99,954723.67,0.12,3.77,44773.845,102.59,74.23,321.775
100,954723.615,0.06,2.75,44787.995,91.9,67.99,325.69
101,954723.58,0.05,1.985,44801.04,82.66,61.825,328.86
102,954723.54,0.05,1.465,44811.955,74.555,56.45,331.985
103,954723.505,0.04,1.18,44821.915,67.0,51.705,334.655
104,954723.485,0.025,0.87,44831.505,59.915,46.975,337.225
105,954723.46,0.035,0.665,44839.63,53.945,42.8,339.465
106,954723.445,0.015,0.485,44847.02,48.4,38.935,341.7
107,954723.445,0.0,0.315,44853.765,43.415,35.485,343.575
108,954723.43,0.015,0.245,44859.595,38.905,32.485,345.325
109,954723.425,0.005,0.21,44864.89,34.825,29.615,347.03
110,954723.425,0.0,0.15,44869.79,31.27,27.1,348.265
111,954723.425,0.0,0.11,44874.305,28.105,24.51,349.545
112,954723.425,0.0,0.075,44878.21,25.225,22.245,350.82
113,954723.425,0.0,0.065,44881.845,22.59,20.165,351.91
114,954723.425,0.0,0.04,44885.24,20.15,18.245,352.9
115,954723.425,0.0,0.03,44888.215,18.045,16.64,353.645
116,954723.425,0.0,0.01,44890.915,16.13,15.02,354.5
117,954723.425,0.0,0.0,44893.41,14.595,13.285,355.285
118,954723.425,0.0,0.0,44895.58,13.075,12.065,355.855
119,954723.425,0.0,0.0,44897.49,11.765,10.835,356.485
120,954723.425,0.0,0.0,44899.13,10.53,9.85,357.065
121,954723.425,0.0,0.0,44900.645,9.46,8.93,357.54
122,954723.425,0.0,0.0,44901.985,8.545,8.105,357.94
123,954723.425,0.0,0.0,44903.27,7.725,7.285,358.295
124,954723.425,0.0,0.0,44904.505,6.855,6.64,358.575
125,954723.425,0.0,0.0,44905.55,6.175,5.94,358.91
126,954723.425,0.0,0.0,44906.61,5.58,5.2,359.185
127,954723.425,0.0,0.0,44907.46,5.05,4.62,359.445
