Date,S,E,I,R,H,C,D
0,999953.0,8.0,38.0,0.0,1.0,0.0,0.0
1,999937.96,16.32,33.575,10.605,1.51,0.03,0.0
2,999924.565,16.045,37.645,19.75,1.89,0.1,0.005
3,999909.58,17.03,40.83,30.13,2.27,0.155,0.005
4,999893.49,19.42,43.115,41.14,2.53,0.29,0.015
5,999876.32,21.66,45.925,52.915,2.785,0.36,0.035
6,999858.29,24.225,48.15,65.6,3.25,0.43,0.055
7,999838.785,21.83,56.29,78.995,3.46,0.565,0.075
8,999816.405,24.49,60.335,94.01,4.02,0.63,0.11
9,999791.675,28.045,64.095,110.77,4.57,0.715,0.13
10,999765.72,22.42,77.095,128.725,5.055,0.82,0.165
11,999735.74,27.37,80.46,149.51,5.82,0.875,0.225
12,999703.675,30.52,86.65,171.57,6.265,1.05,0.27
13,999668.985,33.035,93.96,195.495,6.935,1.275,0.315
14,999631.345,31.05,106.95,221.245,7.63,1.435,0.345
15,999589.025,34.96,114.975,250.53,8.535,1.58,0.395
16,999542.245,44.11,120.035,282.005,9.44,1.71,0.455
17,999493.95,44.85,133.265,315.16,10.265,1.97,0.54
18,999440.22,50.015,143.095,352.855,10.885,2.28,0.65
19,999382.435,49.145,161.275,392.135,11.805,2.475,0.73
20,999317.765,59.86,168.235,437.67,13.01,2.6,0.86
21,999249.825,66.01,182.025,484.14,14.15,2.875,0.975
22,999176.705,77.385,191.905,534.46,15.195,3.26,1.09
23,999099.935,82.605,208.64,587.77,16.25,3.53,1.27
24,999016.705,94.33,220.12,646.095,17.545,3.805,1.4
25,998928.43,92.92,247.375,706.495,19.035,4.195,1.55
26,998830.24,102.59,265.345,775.025,20.46,4.585,1.755
27,998723.46,115.22,284.145,847.86,22.49,4.83,1.995
28,998608.97,128.875,302.925,927.605,24.18,5.265,2.18
29,998486.27,140.215,326.28,1012.995,26.115,5.65,2.475
30,998355.01,145.695,358.925,1103.24,28.11,6.275,2.745
31,998208.875,154.01,393.0,1203.975,30.46,6.61,3.07
32,998050.34,181.615,411.845,1312.795,33.005,7.02,3.38
33,997884.41,180.295,460.66,1427.3,35.91,7.755,3.67
34,997700.955,207.81,485.69,1554.27,38.71,8.54,4.025
35,997505.215,229.47,521.33,1688.835,41.435,9.285,4.43
36,997295.09,235.49,575.995,1834.09,44.595,9.815,4.925
37,997064.495,259.175,619.5,1992.64,48.16,10.665,5.365
38,996815.65,274.92,676.595,2163.315,52.145,11.475,5.9
39,996542.885,303.825,727.745,2350.11,56.625,12.265,6.545
40,996251.68,332.52,782.515,2551.335,61.65,13.115,7.185
41,995938.325,354.84,850.51,2767.25,67.24,14.025,7.81
42,995598.91,368.24,933.585,3002.405,73.065,15.415,8.38
43,995224.555,425.04,983.095,3262.235,79.27,16.71,9.095
44,994829.18,442.335,1079.79,3535.09,85.84,17.77,9.995
45,994397.6,477.1,1167.32,3835.555,92.395,19.275,10.755
46,993930.85,516.07,1260.33,4160.365,99.55,21.235,11.6
47,993426.67,549.06,1371.055,4509.92,107.73,22.905,12.66
48,992878.97,607.91,1467.57,4890.59,116.445,24.735,13.78
49,992293.775,645.65,1595.75,5296.775,125.915,27.01,15.125
50,991656.275,698.465,1722.78,5740.445,136.64,28.92,16.475
51,990971.375,740.115,1872.855,6219.07,147.31,31.435,17.84
52,990224.475,802.77,2021.61,6738.445,159.295,34.105,19.3
53,989420.93,878.275,2170.845,7299.99,172.275,36.725,20.96
54,988554.52,980.335,2313.595,7902.925,185.95,39.81,22.865
55,987635.055,1024.12,2527.11,8545.18,200.675,42.9,24.96
56,986630.78,1116.815,2715.165,9247.56,216.26,46.295,27.125
57,985553.6,1189.875,2941.41,10002.55,233.105,49.865,29.595
58,984385.915,1290.585,3165.875,10819.975,251.825,53.72,32.105
59,983135.375,1378.84,3422.76,11698.15,271.88,58.39,34.605
60,981790.045,1496.72,3671.88,12647.115,294.0,62.83,37.41
61,980339.76,1613.405,3957.255,13664.335,317.085,67.545,40.615
62,978785.11,1709.38,4280.69,14765.775,341.74,73.4,43.905
63,977106.475,1843.0,4598.705,15955.285,369.665,79.18,47.69
64,975301.885,2016.66,4915.14,17230.465,398.6,86.055,51.195
65,973373.93,2140.575,5314.57,18593.965,428.095,93.525,55.34
66,971296.65,2309.01,5707.7,20063.72,462.425,100.67,59.825
67,969074.42,2458.945,6148.58,21646.75,497.255,109.355,64.695
68,966683.235,2650.45,6590.57,23354.035,533.985,117.705,70.02
69,964125.765,2862.865,7047.94,25185.205,575.575,127.12,75.53
70,961397.62,3060.445,7562.72,27142.17,618.915,136.78,81.35
71,958477.34,3382.395,7993.965,29246.335,665.155,146.99,87.82
72,955398.615,3590.985,8576.63,31466.815,712.84,159.055,95.06
73,954741.64,1196.55,9176.875,33848.685,762.5,170.955,102.795
74,954033.635,888.14,7567.61,36401.015,815.255,182.985,111.36
75,953453.11,713.885,6157.63,38517.875,841.285,195.415,120.8
76,952979.425,582.6,5000.695,40255.39,843.65,207.615,130.625
77,952596.0,471.13,4068.755,41674.925,830.905,217.315,140.97
78,952282.2,384.34,3302.515,42848.4,804.985,226.115,151.445
79,952030.205,310.335,2684.145,43810.185,770.405,232.175,162.55
80,951825.795,251.195,2177.525,44605.005,729.785,236.76,173.935
81,951660.755,202.18,1770.095,45257.97,687.01,236.475,185.515
82,951526.315,164.905,1436.03,45798.1,642.265,235.4,196.985
83,951416.6,134.69,1167.455,46243.06,598.325,231.49,208.38
84,951328.045,108.655,950.355,46612.71,554.73,225.5,220.005
85,951255.295,88.97,772.365,46921.315,512.095,219.235,230.725
86,951196.93,71.26,628.895,47178.515,471.555,211.65,241.195
87,951149.265,58.285,509.98,47395.385,432.8,203.01,251.275
88,951110.745,47.185,414.035,47577.0,395.805,194.435,260.795
89,951079.07,38.635,337.04,47728.8,361.23,184.585,270.64
90,951052.965,32.04,274.215,47857.535,329.005,174.39,279.85
91,951032.465,25.35,222.77,47968.155,299.095,163.545,288.62
92,951015.495,20.62,180.435,48061.14,271.825,153.715,296.77
93,951002.01,16.645,146.86,48139.5,247.38,142.93,304.675
