Date,S,E,I,R,H,C,D
0,999953.0,8.0,38.0,0.0,1.0,0.0,0.0
1,999937.905,16.385,33.88,10.305,1.465,0.06,0.0
2,999923.995,16.815,37.565,19.705,1.765,0.15,0.005
3,999909.205,17.22,41.07,30.145,2.15,0.205,0.005
4,999893.015,19.71,42.82,41.6,2.6,0.25,0.005
5,999875.88,21.64,45.99,53.175,3.015,0.275,0.025
6,999856.93,25.06,48.2,66.09,3.325,0.35,0.045
7,999837.44,22.335,56.455,79.605,3.705,0.405,0.055
8,999814.915,24.8,60.325,95.15,4.18,0.555,0.075
9,999790.59,27.885,64.14,111.965,4.6,0.715,0.105
10,999764.47,22.565,77.33,129.52,5.085,0.9,0.13
11,999733.795,28.17,80.12,151.19,5.515,1.005,0.205
12,999702.14,30.25,87.27,172.97,5.99,1.12,0.26
13,999667.055,33.335,94.215,197.235,6.63,1.21,0.32
14,999629.41,31.16,107.39,223.09,7.235,1.32,0.395
15,999586.0,36.08,115.155,252.63,8.255,1.43,0.45
16,999539.68,44.37,120.425,284.165,9.26,1.57,0.53
17,999491.74,44.75,133.645,317.445,9.985,1.805,0.63
18,999438.41,49.36,143.645,354.915,10.96,2.0,0.71
19,999381.285,48.35,160.565,394.86,11.94,2.18,0.82
20,999316.305,59.88,167.63,439.74,13.03,2.51,0.905
21,999249.58,65.115,181.77,485.475,14.22,2.755,1.085
22,999176.855,76.525,190.385,536.43,15.485,3.12,1.2
23,999099.93,82.77,207.375,588.53,16.52,3.49,1.385
24,999017.03,94.065,220.235,645.41,18.005,3.66,1.595
25,998929.16,92.09,246.705,707.0,19.455,3.77,1.82
26,998831.19,101.845,265.655,774.31,20.96,4.025,2.015
27,998723.065,116.535,283.795,847.21,22.755,4.435,2.205
28,998609.79,128.46,304.725,925.245,24.475,4.835,2.47
29,998488.075,139.045,328.705,1009.765,26.415,5.275,2.72
30,998356.91,144.715,360.99,1100.345,28.17,5.88,2.99
31,998213.25,150.785,394.705,1201.095,30.345,6.535,3.285
32,998054.995,180.51,409.16,1311.615,32.87,7.28,3.57
33,997889.975,178.905,458.29,1425.835,35.34,7.77,3.885
34,997705.705,208.535,480.38,1554.22,38.405,8.54,4.215
35,997512.665,227.165,518.15,1686.97,41.38,9.015,4.655
36,997304.46,233.06,572.73,1830.195,44.795,9.7,5.06
37,997075.145,257.03,613.895,1989.705,48.29,10.445,5.49
38,996830.965,269.805,669.375,2160.415,52.21,11.185,6.045
39,996562.095,297.675,719.495,2345.355,56.72,12.04,6.62
40,996273.09,328.245,773.08,2544.135,61.05,13.18,7.22
41,995962.245,350.835,839.6,2759.055,65.975,14.38,7.91
42,995629.01,360.285,922.425,2993.0,71.275,15.345,8.66
43,995260.205,415.525,972.215,3248.245,77.92,16.375,9.515
44,994873.74,429.96,1067.53,3516.42,84.41,17.615,10.325
45,994449.065,465.81,1151.06,3812.925,91.11,18.905,11.125
46,993988.63,503.415,1242.945,4133.91,98.19,20.83,12.08
47,993492.205,536.375,1351.905,4477.745,106.295,22.39,13.085
48,992953.91,593.945,1447.47,4851.465,114.815,24.275,14.12
49,992378.215,629.85,1575.525,5251.565,123.48,26.055,15.31
50,991752.925,679.54,1700.91,5688.28,133.6,28.075,16.67
51,991075.05,722.79,1849.9,6158.625,145.13,30.46,18.045
52,990339.25,782.965,1994.875,6673.655,156.67,33.18,19.405
53,989546.66,857.88,2142.255,7227.065,169.05,35.95,21.14
54,988695.6,957.915,2280.175,7821.525,182.94,39.225,22.62
55,987789.105,1003.6,2487.355,8455.74,197.115,42.595,24.49
56,986800.855,1093.715,2672.865,9147.225,212.735,45.885,26.72
57,985740.255,1162.195,2901.005,9888.695,229.185,49.715,28.95
58,984591.14,1259.895,3121.115,10694.63,248.535,53.185,31.5
59,983354.985,1349.325,3376.015,11561.13,266.945,57.565,34.035
60,982025.685,1468.57,3621.025,12496.885,288.67,62.39,36.775
61,980595.585,1583.995,3901.115,13500.17,311.625,67.525,39.985
62,979056.54,1682.22,4224.04,14585.03,335.93,72.88,43.36
63,977396.84,1814.55,4543.215,15757.51,362.315,78.64,46.93
64,975611.345,1991.195,4851.36,17020.115,390.705,84.265,51.015
65,973711.615,2105.975,5252.59,18362.485,421.185,91.16,54.99
66,971657.175,2276.265,5633.43,19821.89,453.095,98.54,59.605
67,969462.095,2427.01,6070.63,21381.05,488.545,106.23,64.44
68,967101.14,2613.585,6509.05,23065.3,526.83,114.335,69.76
69,964569.285,2831.85,6965.22,24867.75,566.925,123.39,75.58
70,961870.55,3026.405,7477.71,26801.85,608.555,133.31,81.62
71,958981.545,3344.795,7908.57,28880.615,653.21,143.205,88.06
72,955936.9,3550.85,8486.565,31077.675,698.645,154.465,94.9
73,955438.235,1033.33,9071.9,33436.7,751.055,166.42,102.36
74,954904.535,689.8,7353.445,35954.645,807.065,180.01,110.5
75,954471.64,537.12,5837.935,38009.04,831.595,193.72,118.95
76,954128.1,425.145,4622.45,39659.525,830.32,205.805,128.655
77,953855.81,336.455,3660.925,40979.12,812.915,216.25,138.525
78,953641.345,265.83,2898.27,42037.39,783.5,224.475,149.19
79,953471.965,209.685,2292.165,42891.01,745.845,228.945,160.385
80,953337.275,166.27,1813.715,43577.495,701.92,231.47,171.855
81,953231.485,130.675,1437.495,44128.65,657.885,229.985,183.825
82,953146.89,104.56,1138.34,44574.545,611.845,228.43,195.39
83,953079.87,82.7,902.55,44938.795,566.635,222.88,206.57
84,953026.53,65.925,713.105,45237.06,522.315,217.77,217.295
85,952985.205,50.91,566.305,45479.78,479.51,210.485,227.805
86,952951.525,41.09,448.65,45679.59,438.41,202.775,237.96
87,952924.535,33.45,355.655,45844.605,400.26,194.11,247.385
88,952904.045,25.78,281.71,45981.335,365.155,185.32,256.655
89,952887.905,19.88,223.13,46095.865,331.825,175.78,265.615
90,952874.815,16.08,176.6,46192.24,300.675,165.42,274.17
91,952864.675,12.475,139.345,46273.35,272.765,155.165,282.225
92,952856.55,9.99,110.675,46340.385,247.14,145.095,290.165
93,952850.3,7.755,87.075,46397.82,224.66,135.505,296.885
94,952845.34,6.105,68.805,46446.955,203.31,125.87,303.615
95,952840.98,5.485,53.935,46489.16,183.94,117.035,309.465
96,952837.73,4.055,43.49,46525.255,166.04,108.18,315.25
97,952835.1,3.195,34.805,46556.72,150.15,99.405,320.625
98,952833.025,2.58,27.155,46584.88,135.3,91.655,325.405
99,952831.45,1.96,21.755,46608.365,122.23,84.635,329.605
100,952830.185,1.52,16.95,46629.605,110.505,77.45,333.785
101,952829.29,1.095,13.24,46648.31,99.72,70.985,337.36
102,952828.52,0.935,10.295,46664.48,89.905,65.005,340.86
103,952827.995,0.65,8.28,46678.615,81.025,59.445,343.99
104,952827.485,0.645,6.25,46691.325,72.825,54.6,346.87
105,952827.17,0.39,4.965,46702.595,65.61,49.82,349.45
106,952826.87,0.375,3.83,46712.825,58.95,45.34,351.81
107,952826.685,0.225,2.99,46721.695,53.225,41.065,354.115
108,952826.47,0.245,2.46,46729.36,47.8,37.58,356.085
109,952826.31,0.215,1.955,46736.355,42.94,34.34,357.885
