Date,S,E,I,R,H,C,D
0,999953.0,8.0,38.0,0.0,1.0,0.0,0.0
1,999937.61,16.67,33.765,10.485,1.43,0.04,0.0
2,999924.125,16.555,37.51,19.92,1.775,0.115,0.0
3,999909.075,17.305,41.15,30.155,2.115,0.19,0.01
4,999892.295,20.255,42.965,41.735,2.465,0.265,0.02
5,999875.07,21.93,46.04,53.78,2.78,0.36,0.04
6,999856.595,24.725,48.72,66.28,3.155,0.475,0.05
7,999837.51,21.575,56.815,79.9,3.54,0.6,0.06
8,999814.33,25.105,59.635,96.18,3.955,0.7,0.095
9,999790.305,27.585,63.975,112.78,4.42,0.8,0.135
10,999764.315,22.26,76.865,130.59,4.86,0.94,0.17
11,999732.665,28.905,79.5,152.085,5.625,1.01,0.21
12,999701.1,30.785,86.515,173.935,6.285,1.115,0.265
13,999666.075,33.435,94.625,197.365,6.89,1.275,0.335
14,999628.295,31.62,107.27,223.415,7.575,1.42,0.405
15,999585.365,36.02,115.625,252.59,8.355,1.545,0.5
16,999539.385,44.25,120.15,284.755,9.105,1.785,0.57
17,999491.24,44.83,132.645,318.615,10.08,1.94,0.65
18,999437.905,49.77,143.275,355.225,10.77,2.285,0.77
19,999380.535,49.06,160.045,395.61,11.39,2.49,0.87
20,999316.72,59.32,167.66,439.87,12.735,2.715,0.98
21,999249.8,65.065,180.845,486.42,13.91,2.81,1.15
22,999177.025,76.57,190.85,536.05,15.125,3.09,1.29
23,999100.115,82.035,208.095,588.645,16.225,3.465,1.42
24,999016.225,94.925,219.135,646.95,17.485,3.67,1.61
25,998928.39,92.11,246.965,708.2,18.675,3.87,1.79
26,998828.37,103.785,265.065,776.335,20.22,4.205,2.02
27,998722.805,115.08,283.95,849.375,21.88,4.68,2.23
28,998610.295,126.625,304.15,927.645,23.54,5.26,2.485
29,998488.805,137.815,327.02,1012.245,25.76,5.685,2.67
30,998357.575,143.945,357.565,1104.12,27.845,5.945,3.005
31,998215.855,148.33,392.98,1203.185,29.805,6.525,3.32
32,998058.63,177.875,407.935,1312.4,32.78,6.72,3.66
33,997895.365,175.935,454.855,1427.18,35.31,7.27,4.085
34,997712.405,206.3,476.435,1554.085,38.365,7.99,4.42
35,997520.315,224.385,514.155,1685.93,41.7,8.72,4.795
36,997315.925,227.86,568.805,1827.93,44.79,9.47,5.22
37,997089.09,251.335,609.445,1985.955,48.235,10.29,5.65
38,996846.43,265.09,663.935,2154.72,52.265,11.42,6.14
39,996579.13,292.835,712.865,2339.53,56.765,12.125,6.75
40,996295.315,319.545,764.96,2538.345,61.145,13.23,7.46
41,995989.25,342.07,830.16,2750.16,65.705,14.67,7.985
42,995656.9,355.1,911.745,2980.785,70.975,15.71,8.785
43,995292.085,409.41,961.775,3233.315,76.895,16.955,9.565
44,994908.395,423.365,1056.285,3500.78,82.425,18.31,10.44
45,994485.625,460.585,1139.395,3794.12,89.22,19.83,11.225
46,994033.075,495.32,1233.7,4108.12,96.225,21.39,12.17
47,993540.0,529.24,1339.915,4450.24,104.35,23.03,13.225
48,993001.69,589.615,1434.89,4822.49,112.29,24.645,14.38
49,992430.78,623.04,1561.285,5221.885,120.77,26.655,15.585
50,991808.13,672.56,1688.26,5654.595,130.79,28.67,16.995
51,991136.565,713.15,1834.785,6124.17,141.865,31.09,18.375
52,990407.47,772.29,1980.25,6632.78,153.62,33.74,19.85
53,989622.75,843.24,2127.225,7182.985,165.935,36.34,21.525
54,988778.375,942.58,2262.9,7773.96,179.575,39.27,23.34
55,987882.095,983.785,2471.685,8400.49,194.24,42.43,25.275
56,986900.93,1074.61,2654.575,9086.36,210.49,45.695,27.34
57,985849.875,1141.61,2881.16,9821.32,227.24,49.165,29.63
58,984707.97,1243.06,3099.255,10618.52,245.94,53.37,31.885
59,983483.265,1330.08,3348.79,11479.77,266.285,57.38,34.43
60,982158.19,1452.26,3591.935,12410.26,287.605,62.435,37.315
61,980741.42,1561.845,3874.47,13405.07,309.635,67.24,40.32
62,979215.805,1656.895,4196.88,14479.9,334.145,72.56,43.815
63,977556.8,1801.185,4513.035,15642.975,359.78,78.865,47.36
64,975782.93,1968.39,4831.415,16893.015,388.515,84.63,51.105
65,973883.64,2091.045,5224.7,18235.095,418.93,91.475,55.115
66,971839.79,2254.575,5612.17,19683.09,452.63,98.14,59.605
67,969649.875,2407.985,6044.25,21240.235,487.875,105.39,64.39
68,967295.525,2593.6,6485.38,22916.175,526.58,113.165,69.575
69,964772.585,2807.45,6944.275,24710.565,567.105,123.22,74.8
70,962077.21,3005.735,7453.92,26640.22,610.0,132.07,80.845
71,959200.345,3330.075,7875.735,28707.645,655.73,143.26,87.21
72,956170.93,3531.15,8452.86,30895.04,701.665,154.145,94.21
73,956095.905,607.525,9037.205,33239.82,751.345,166.31,101.89
74,956016.09,171.74,6969.935,35749.74,804.68,177.6,110.215
75,955955.235,86.945,5121.295,37702.63,823.555,191.595,118.745
76,955910.25,58.25,3730.63,39155.75,813.85,203.055,128.215
77,955876.945,41.96,2710.08,40233.525,785.49,213.79,138.21
78,955852.835,30.52,1968.75,41033.51,744.39,221.005,148.99
79,955835.385,22.025,1432.98,41627.735,696.965,225.12,159.79
80,955822.615,16.105,1042.705,42075.435,645.915,226.525,170.7
81,955813.335,11.525,759.005,42414.36,595.395,225.065,181.315
82,955807.005,8.105,551.96,42674.055,546.485,220.15,192.24
83,955802.225,6.155,400.23,42875.025,499.64,213.73,202.995
84,955798.58,4.51,290.175,43031.42,455.11,206.995,213.21
85,955796.425,2.84,210.14,43155.195,413.32,198.65,223.43
86,955794.415,2.455,151.095,43254.96,375.385,188.625,233.065
87,955793.045,1.77,109.665,43334.58,340.32,178.36,242.26
88,955792.185,1.12,80.22,43399.53,307.525,168.15,251.27
89,955791.59,0.735,58.39,43454.51,277.485,157.735,259.555
90,955791.025,0.64,41.96,43501.075,249.925,148.155,267.22
91,955790.675,0.44,31.06,43540.165,225.355,137.895,274.41
92,955790.45,0.31,22.51,43574.625,202.945,127.91,281.25
93,955790.24,0.25,16.13,43604.8,182.74,118.355,287.485
94,955790.065,0.225,11.655,43631.205,164.405,109.16,293.285
95,955789.965,0.125,8.54,43654.52,147.825,100.575,298.45
96,955789.9,0.09,6.02,43674.96,132.685,92.94,303.405
97,955789.86,0.055,4.435,43692.845,119.34,85.415,308.05
98,955789.825,0.05,3.215,43708.89,107.655,78.27,312.095
99,955789.825,0.005,2.385,43723.0,96.79,72.185,315.81
100,955789.8,0.025,1.72,43736.345,86.99,65.755,319.365
101,955789.8,0.01,1.26,43748.645,78.195,59.41,322.68
102,955789.765,0.035,0.875,43759.16,70.14,54.2,325.825
103,955789.76,0.015,0.67,43768.455,62.99,49.725,328.385
104,955789.76,0.0,0.465,43777.245,56.61,45.11,330.81
105,955789.76,0.0,0.34,43785.17,50.86,40.86,333.01
106,955789.76,0.0,0.24,43792.195,45.725,37.17,334.91
