date,S,E,I,R,H,C,D
85,947789.96,223.865,1376.425,49548.63,589.925,233.89,237.305
86,947632.27,191.75,1173.58,49976.69,550.7,226.085,248.925
87,947497.19,163.75,1002.715,50345.92,511.13,218.96,260.335
88,947382.115,139.4,854.74,50668.405,473.75,210.615,270.975
89,947284.58,118.65,728.865,50946.635,438.26,201.645,281.365
90,947202.39,99.88,622.425,51186.875,404.89,192.35,291.19
91,947131.365,86.04,528.87,51396.43,373.425,183.165,300.705
92,947070.61,73.45,451.965,51577.225,343.405,173.93,309.415
93,947019.23,62.59,384.87,51735.415,315.2,164.955,317.74
94,946975.025,53.47,327.92,51872.565,289.25,155.415,326.355
95,946937.91,45.285,280.69,51991.485,264.63,145.855,334.145
96,946905.35,39.475,237.635,52097.42,242.005,136.97,341.145
97,946878.86,32.49,202.815,52188.72,220.84,128.595,347.68
98,946855.63,28.15,171.885,52269.02,201.165,120.32,353.83
99,946836.215,23.4,146.2,52339.3,182.96,112.035,359.89
100,946819.855,19.82,123.855,52400.42,166.835,103.72,365.495
101,946806.33,16.58,105.795,52452.34,151.755,96.695,370.505
102,946794.345,14.6,88.855,52499.595,137.875,89.47,375.26
103,946784.075,12.66,75.88,52540.03,125.365,82.5,379.49
104,946775.31,10.735,64.57,52575.995,114.13,75.75,383.51
105,946768.17,8.79,55.365,52606.845,103.7,70.02,387.11
106,946761.67,7.785,46.685,52634.765,94.09,64.725,390.28
107,946756.2,6.71,39.77,52659.1,85.225,59.465,393.53
108,946751.66,5.59,34.14,52680.51,77.17,54.6,396.33
109,946747.81,4.67,29.325,52699.46,69.425,50.475,398.835
110,946744.425,4.11,25.02,52715.83,62.845,46.345,401.425
111,946741.47,3.515,21.415,52730.605,56.915,42.38,403.7
112,946738.97,3.025,18.425,52743.605,51.71,38.65,405.615
113,946737.08,2.345,15.845,52755.075,46.615,35.49,407.55
114,946735.24,2.165,13.155,52765.38,42.195,32.635,409.23
115,946733.92,1.665,11.32,52774.315,38.14,29.7,410.94
116,946732.575,1.675,9.45,52782.395,34.395,27.08,412.43
117,946731.465,1.295,8.325,52789.385,31.18,24.56,413.79
118,946730.445,1.23,6.99,52795.89,28.195,22.265,414.985
119,946727.62,3.0,5.95,52801.555,25.405,20.475,415.995
120,946725.405,2.755,6.765,52806.485,23.0,18.535,417.055
121,946722.915,2.96,7.1,52811.52,20.745,16.815,417.945
122,946720.395,2.925,7.57,52816.21,18.895,15.14,418.865
123,946717.465,3.305,7.985,52820.835,17.075,13.785,419.55
124,946714.37,3.57,8.475,52825.32,15.26,12.79,420.215
125,946711.15,3.805,9.02,52829.685,14.015,11.485,420.84
126,946707.615,4.11,9.685,52834.09,12.655,10.345,421.5
127,946703.945,4.295,10.535,52838.22,11.61,9.305,422.09
128,946700.11,4.525,11.07,52842.72,10.56,8.395,422.62
129,946695.71,5.15,11.75,52847.195,9.615,7.54,423.04
130,946691.205,5.29,12.76,52851.525,8.675,7.235,423.31
131,946686.225,5.745,13.505,52856.105,8.055,6.695,423.67
132,946681.155,5.915,14.425,52860.89,7.42,6.195,424.0
133,946675.745,6.285,15.13,52866.025,6.905,5.57,424.34
134,946669.885,6.925,15.99,52871.235,6.365,5.025,424.575
135,946663.945,7.005,17.31,52876.285,5.97,4.675,424.81
136,946657.45,7.555,18.21,52881.815,5.665,4.27,425.035
137,946650.58,8.085,19.315,52887.515,5.37,3.885,425.25
138,946643.335,8.52,20.345,52893.68,5.005,3.67,425.445
139,946635.435,9.13,21.82,52899.93,4.725,3.33,425.63
140,946626.78,10.045,23.525,52906.275,4.535,3.045,425.795
141,946617.69,10.66,25.225,52913.255,4.415,2.765,425.99
142,946608.09,11.295,26.985,52920.7,4.39,2.435,426.105
143,946597.82,12.01,28.83,52928.635,4.23,2.23,426.245
144,946586.555,13.125,30.74,52936.92,4.235,2.09,426.335
145,946574.85,13.78,33.31,52945.43,4.24,1.935,426.455
146,946562.025,14.775,35.185,52955.225,4.35,1.885,426.555
147,946548.4,16.005,37.29,52965.26,4.565,1.85,426.63
148,946534.2,16.6,40.415,52975.61,4.655,1.8,426.72
149,946518.74,18.135,42.865,52986.85,4.73,1.86,426.82
150,946502.85,18.79,45.85,52998.87,4.96,1.74,426.94
151,946485.645,19.96,48.445,53012.095,5.125,1.69,427.04
152,946467.45,21.165,50.95,53026.31,5.385,1.585,427.155
153,946447.145,23.495,54.465,53040.45,5.54,1.67,427.235
154,946426.35,24.385,58.95,53055.605,5.665,1.705,427.34
155,946404.145,25.905,62.47,53072.46,5.88,1.68,427.46
156,946380.34,27.97,66.12,53090.055,6.25,1.705,427.56
157,946354.635,29.91,70.84,53108.68,6.47,1.775,427.69
