,Date,DAL,DAL-var,AAL,AAL-var,UAL,UAL-var,ZNH,ZNH-var,CEA,CEA-var
0,2018-12-31,50.095001220703125,0.0,32.10000038146973,0.0,83.73500061035156,0.0,30.565000534057617,0.0,27.664999961853027,0.0
1,2019-01-02,49.670000076293945,-0.008483903264853827,31.969999313354492,-0.004049877463250116,82.93500137329102,-0.00955394078019089,30.260000228881836,-0.009978743656030008,27.270000457763672,-0.014277950646449163
2,2019-01-03,47.05999946594238,-0.05254682114641752,30.875,-0.03425083943924546,81.63000106811523,-0.01573521774361546,29.320000648498535,-0.031064096935667324,26.53499984741211,-0.02695271719888477
3,2019-01-04,47.079999923706055,0.000424999107323542,31.24000072479248,0.011821885823238234,81.77999877929688,0.0018375316577109526,29.78499984741211,0.015859453909575088,26.719999313354492,0.006971903787684601
4,2019-01-07,47.92499923706055,0.017948158766436448,32.47000026702881,0.039372583665152866,82.9000015258789,0.013695313808999066,31.47000026702881,0.05657211442836726,27.440000534057617,0.026946154161885505
5,2019-01-08,47.97500038146973,0.001043320713722905,32.88999938964844,0.012934989811075269,82.84000015258789,-0.000723780122878345,31.864999771118164,0.012551620614480813,27.6850004196167,0.00892856708420965
6,2019-01-09,47.78499984741211,-0.003960407140111344,32.91999816894531,0.0009120942491204971,82.49500274658203,-0.0041646234351809305,32.054999351501465,0.005962641824824767,27.899999618530273,0.007765909180237278
7,2019-01-10,47.704999923706055,-0.001674163941854386,31.33000087738037,-0.04829882685305999,81.05000305175781,-0.017516208821316617,32.35000038146973,0.009202964777300605,28.255000114440918,0.01272403228546515
8,2019-01-11,48.39000129699707,0.014359110667362516,31.799999237060547,0.015001543138146068,80.375,-0.008328229812980531,34.114999771118164,0.05455948589909259,29.609999656677246,0.047956097566738215
9,2019-01-14,47.65999984741211,-0.015085791072922796,31.554999351501465,-0.007704399101794719,79.59500122070312,-0.009704494921267496,33.60000038146973,-0.015095981037773218,28.99000072479248,-0.02093883617269654
10,2019-01-15,47.900001525878906,0.005035704558018977,31.989998817443848,0.013785437327910592,80.8949966430664,0.01633262645173683,33.540000915527344,-0.0017856983708688377,28.859999656677246,-0.004484341664885038
11,2019-01-16,48.19499969482422,0.006158625460292188,32.829999923706055,0.026258241241452072,86.60499954223633,0.07058536542580267,33.96000099182129,0.012522363292468077,28.75,-0.003811491960700555
12,2019-01-17,47.829999923706055,-0.007573395029139554,33.165000915527344,0.010204111867188578,86.69499969482422,0.0010392027372969216,34.489999771118164,0.015606559594168344,29.68000030517578,0.0323478367017663
13,2019-01-18,48.375,0.011394523879642035,33.90500068664551,0.022312671511843907,86.36499786376953,-0.003806469026083738,35.16499900817871,0.019570868122353237,30.710000038146973,0.0347034946893708
14,2019-01-22,47.57499885559082,-0.016537491357295705,33.25,-0.019318704420598916,84.35499954223633,-0.02327329787819523,33.739999771118164,-0.040523226994237056,29.5,-0.03940084782298761
15,2019-01-23,47.295000076293945,-0.005885418518806137,32.28999996185303,-0.028872181598405194,83.28999710083008,-0.012625243876304048,33.55999946594238,-0.005334923129722829,29.864999771118164,0.0123728735972259
16,2019-01-24,47.88999938964844,0.012580596519603951,33.959999084472656,0.05171877127880283,84.26499938964844,0.011706115052904023,34.10499954223633,0.016239573449547472,30.304999351501465,0.014732951071669368
17,2019-01-25,47.670000076293945,-0.004593846651876251,34.459999084472656,0.014723204166062898,84.41999816894531,0.0018394206422544148,34.82000160217285,0.020964728618484522,30.369999885559082,0.002144878252716304
18,2019-01-28,47.71999931335449,0.0010488616945778283,35.54999923706055,0.03163088164674485,83.8849983215332,-0.006337359144943859,34.9950008392334,0.005025825072036369,30.46500015258789,0.0031280957321959415
19,2019-01-29,48.31500053405762,0.012468592398672002,36.52499961853027,0.027426171656659212,85.18499755859375,0.01549739837959606,35.170000076293945,0.0050006924664608874,30.425000190734863,-0.0013129808518851918
20,2019-01-30,49.32500076293945,0.020904485516250362,36.385000228881836,-0.0038329744315017443,86.68500137329102,0.017608779218024877,35.21000099182129,0.0011373589832405502,30.925000190734863,0.016433853635677606
21,2019-01-31,49.75,0.008616304723503863,36.040000915527344,-0.009481910435186343,87.41499710083008,0.00842124607457162,35.64499855041504,0.012354375073570513,30.780000686645508,-0.00468874707178813
22,2019-02-01,49.77499961853027,0.0005025048950808731,35.94000053405762,-0.002774705297708324,87.3499984741211,-0.0007435637918515375,35.385000228881836,-0.00729410386047486,30.63499927520752,-0.004710896952672906
23,2019-02-04,50.165000915527344,0.007835284781235444,36.46999931335449,0.014746766038432172,88.04500198364258,0.007956537168428124,35.040000915527344,-0.009749874554837445,30.885000228881836,0.008160631943498647
24,2019-02-05,50.454999923706055,0.005780903077566752,36.8700008392334,0.010967960883191866,89.09000015258789,0.011868909596247807,35.56999969482422,0.015125535543636805,31.25999927520752,0.012141785447519813
25,2019-02-06,50.34499931335449,-0.002180172639339936,36.779998779296875,-0.0024410647650637473,89.44499969482422,0.003984729393066637,35.44999885559082,-0.0033736530858295096,31.28499984741211,0.0007997624051264115
26,2019-02-07,50.375,0.0005959020171751168,36.314998626708984,-0.012642745188170995,88.59500122070312,-0.00950302953794162,34.885000228881836,-0.015937902537333324,30.645000457763672,-0.020457068651748074
27,2019-02-08,50.27000045776367,-0.002084358158537531,35.89999961853027,-0.011427757782523697,87.75499725341797,-0.009481392355225363,34.954999923706055,0.0020065843303697303,30.449999809265137,-0.006363212451809028
